ID,Value,Source
nort2697-GB204,0,Shiraliev (1971:88-93)
nort2697-GB250,0,Mehraliev (p.c. 2017)
nort2697-GB252,1,Mehraliev (p.c. 2017)
nort2697-GB253,0,Mehraliev (p.c. 2017)
nort2697-GB254,1,Mehraliev (p.c. 2017)
nort2697-GB256,0,Mehraliev (p.c. 2017)
nort2697-GB257,1,Shiraliev (1971:254-257); Shiraliev (1997:162)
nort2697-GB260,0,Shiraliev (1971:254-257)
nort2697-GB262,0,Shiraliev (1971:254-257)
nort2697-GB263,1,Shiraliev (1971:254-257)
nort2697-GB264,0,Shiraliev (1971:254-257)
nort2697-GB265,0,Shiraliev (1971:47)
nort2697-GB266,1,Shiraliev (1971:47)
nort2697-GB270,0,Shiraliev (1971:47)
nort2697-GB273,0,Shiraliev (1971:47)
nort2697-GB275,0,Shiraliev (1971:47)
nort2697-GB276,0,Shiraliev (1971:47)
nort2697-GB285,0,Shiraliev (1971:254-257)
nort2697-GB286,0,Shiraliev (1971:254-257)
nort2697-GB291,0,Shiraliev (1971:254-257)
nort2697-GB296,0,Shiraliev (1971:1-407)
nort2697-GB297,0,Shiraliev (1971:254-257)
nort2697-GB298,0,Shiraliev (1997:166)
nort2697-GB299,0,Shiraliev (1997:166)
nort2697-GB300,0,Shiraliev (1971:1-407)
nort2697-GB301,1,Mehraliev (p.c. 2017)
nort2697-GB302,0,Shiraliev (1971:1-407)
nort2697-GB303,0,Shiraliev (1971:1-407)
nort2697-GB304,1,Shiraliev (1971:106)
nort2697-GB305,1,Shiraliev (1971:88)
nort2697-GB306,0,Mehraliev (p.c. 2017)
nort2697-GB309,1,Shiraliev (1971:123-136); Shiraliev (1997:165)
nort2697-GB312,1,Shiraliev (1997:164-165)
nort2697-GB313,0,Shiraliev (1971:49-51, 87); Shiraliev (1997:163-164)
nort2697-GB314,0,Shiraliev (1997:163)
nort2697-GB315,0,Shiraliev (1997:163)
nort2697-GB316,0,Shiraliev (1997:163)
nort2697-GB317,0,Shiraliev (1997:163)
nort2697-GB318,0,Shiraliev (1997:163)
nort2697-GB319,0,Shiraliev (1997:163)
nort2697-GB320,0,Shiraliev (1997:163)
nort2697-GB321,0,Shiraliev (1997:163)
nort2697-GB322,0,Shiraliev (1971:1-407)
nort2697-GB323,0,Shiraliev (1971:1-407)
nort2697-GB324,0,Shiraliev (1971:254-257)
nort2697-GB325,0,Shiraliev (1997:166)
nort2697-GB326,1,Shiraliev (1971:254-257)
nort2697-GB327,1,Shiraliev (1971:141)
nort2697-GB328,1,Shiraliev (1971:1-407)
nort2697-GB329,?,Shiraliev (1971:1-407)
nort2697-GB330,?,Shiraliev (1971:1-407)
nort2697-GB331,?,Shiraliev (1971:1-407)
nort2697-GB333,1,Shiraliev (1971:72)
nort2697-GB334,0,Shiraliev (1971:72)
nort2697-GB335,0,Shiraliev (1971:72)
nort2697-GB336,0,Shiraliev (1971:72)
nort2697-GB400,0,Shiraliev (1971:1-407)
nort2697-GB401,0,Mehraliev (p.c. 2017)
nort2697-GB402,0,Shiraliev (1971:1-407)
nort2697-GB403,0,Shiraliev (1971:1-407)
nort2697-GB408,1,Shiraliev (1971:44); Shiraliev (1997:163)
nort2697-GB409,0,Shiraliev (1971:1-407)
nort2697-GB410,1,Shiraliev (1971:44); Shiraliev (1997:163)
nort2697-GB415,0,Shiraliev (1971:79)
nort2697-GB421,?,Shiraliev (1971:1-407)
nort2697-GB422,?,Shiraliev (1971:1-407)
nort2697-GB430,0,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-GB431,0,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-GB432,1,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-GB433,1,Shiraliev (1971:49-51); Shiraliev (1997:163-164)
nort2697-GB519,0,Shiraliev (1997:164-165)
nort2697-GB520,0,Shiraliev (1997:164)
nort2697-GB521,0,Shiraliev (1971:105-106); Shiraliev (1997:165)
nort2697-GB522,1,Mehraliev (p.c. 2017)
nort2697-TE003,1,Shiraliev (1971:27-28); Shiraliev (1997:162)
nort2697-TE004,0,Shiraliev (1997:162)
nort2697-TE005,0,Shiraliev (1997:161)
nort2697-TE006,0,Shiraliev (1971:26)
nort2697-TE007,0,Shiraliev (1971:27); Shiraliev (1997:162)
nort2697-TE008,1,Shiraliev (1971:20-23)
nort2697-TE018,1,Shiraliev (1971:79)
nort2697-TE019,1,Shiraliev (1971:80)
nort2697-TE027,1,Shiraliev (1971:79)
nort2697-TE031,0,Shiraliev (1997:161)
nort2697-TE037,1,Shiraliev (1971:22-24)
nort2697-TE038,1,Shiraliev (1971:26)
nort2697-TE039,0,Shiraliev (1971:7); Shiraliev (1997:162)
nort2697-TE050,0,Shiraliev (1971:71)
nort2697-TE052,1,Shiraliev (1971:44); Shiraliev (1997:163)
nort2697-TE053,0,Shiraliev (1971:45-48)
nort2697-TE054,1,Mehraliev (p.c. 2017)
nort2697-TE059,0,Shiraliev (1971:106-109); Shiraliev (1997:164)
nort2697-TE066,1,Shiraliev (1971:114); Shiraliev (1997:164)
nort2697-TE078,0,Shiraliev (1971:1-407)
nort2697-TS001,1,Shiraliev (1971:226, 229)
