Feature & log10 (q10 rate)) & SD (q10 rate) & log10 (q01) & SD (q01 rate)
GB305 & -1.52 & 0.01 & -10 & 0.01
GB306 & -0.15 & 23.04 & -0.85 & 2.98
GB309 & -0.46 & 21.57 & -0.72 & 14.71
GB312 & -1.7 & 0 & -10 & 0.02
GB313 & 0.99 & 36.47 & 0.21 & 6.12
GB316 & -10 & 0 & -10 & 0
GB318 & -10 & 0 & -10 & 0
GB322 & 0.36 & 29.56 & -0.22 & 8.12
GB323 & 2 & 38.54 & 1.57 & 14.58
GB324 & 2 & 35.7 & 1.94 & 31.51
GB325 & 1.93 & 41.4 & 1.54 & 16.64
GB326 & 0 & 5.56 & 0.82 & 38.91
GB327 & 0.94 & 35.86 & 0.27 & 7.37
GB328 & -1.52 & 0.01 & -10 & 0.03
GB329 & 1.24 & 39.62 & 0.38 & 5.37
GB330 & -10 & 0 & -10 & 0
GB333 & -10 & 0 & -10 & 0
GB400 & 0.84 & 32.25 & -0.14 & 3.23
GB401 & 1.97 & 39.77 & 1.67 & 19.95
GB403 & -0.66 & 0.12 & -1.7 & 0.01
GB408 & -1.7 & 0 & -10 & 0.01
GB409 & -10 & 0 & -10 & 0
GB410 & -0.77 & 11.14 & -0.64 & 14.83
GB415 & 0.64 & 43.14 & 0.28 & 19.54
GB421 & -0.21 & 15.01 & -1.3 & 3.13
GB422 & -0.55 & 0.1 & -1.05 & 0.03
GB431 & -10 & 0 & -10 & 0
GB432 & -0.96 & 0.97 & -0.34 & 4.45
GB433 & -1.15 & 0.03 & -10 & 0.03
GB519 & 1.6 & 40.97 & 0.98 & 9.64
GB520 & 0.92 & 33.16 & -0.55 & 1.06
GB521 & 1.26 & 36.35 & 0.12 & 2.58
GB522 & -1.52 & 0.01 & -10 & 0
TE003 & -1 & 0.07 & -0.89 & 0.04
TE004 & -0.35 & 3.15 & -1.3 & 0.5
TE005 & -0.38 & 4.45 & -1.05 & 1.27
TE006 & -0.62 & 0.09 & -1.05 & 0.03
TE007 & -0.18 & 0.26 & -1.1 & 0.02
TE008 & -0.55 & 3.48 & -0.05 & 13.8
TE018 & -0.85 & 2.01 & -10 & 4.66
TE019 & -0.92 & 0.03 & -10 & 0.02
TE027 & 1.37 & 44.42 & 1.19 & 29.81
TE031 & -0.85 & 3.15 & -0.54 & 8.57
TE037 & 1.11 & 31.27 & 1.25 & 43.48
TE038 & -0.92 & 0.03 & -10 & 0.02
TE039 & -0.17 & 20.48 & 0.09 & 38.66
TE050 & 0.58 & 26.23 & -0.82 & 0.92
TE052 & -1.22 & 2.74 & -0.89 & 3.16
TE053 & -0.48 & 25.59 & -0.21 & 38.62
TE054 & -0.07 & 4.76 & 0.71 & 30.96
TE059 & 1.21 & 40.09 & 0.39 & 6.14
TE066 & -10 & 0.02 & -1.1 & 0.03
TE078 & -0.2 & 22.85 & -1.15 & 1.65
TS001 & -1.3 & 0.95 & -10 & 17.08
TS002 & -0.39 & 20.15 & -0.74 & 6.45
TS003 & -10 & 0 & -10 & 0.02
TS005 & -10 & 0 & -10 & 0.02
TS006 & -1.05 & 0.02 & -10 & 0.02
TS007 & -10 & 0 & -10 & 0.01
TS009 & 0.94 & 15.15 & 1.39 & 43.51
TS010 & 0.27 & 34.91 & 0 & 18.4
TS079 & -0.33 & 0.44 & -1.22 & 0.02
TS080 & -0.43 & 34.21 & -0.66 & 26.69
TS086 & -10 & 0 & -10 & 0.02
TS088 & -0.28 & 3.15 & -1 & 0.81
