Tree,Model,Feature,LogLikelihood,AICc,Clade,p0,p1
706,ER,GB020,-17.4536231577867,36.975042925743,Turkic,0.99998232802939,1.76719706101371e-05
706,ER,GB020,-17.4536231577867,36.975042925743,Tungusic,0.999964858006186,3.5141993814461e-05
706,ER,GB020,-17.4536231577867,36.975042925743,Mongolic,0.999878744729862,0.000121255270138178
706,ER,GB020,-17.4536231577867,36.975042925743,Japonic,0.999989259529692,1.07404703081421e-05
706,ER,GB020,-17.4536231577867,36.975042925743,Koreanic,0.999738449650205,0.000261550349795014
706,ARD,GB020,-11.9372542837956,28.0814051193154,Turkic,0.952035547174634,0.0479644528253663
706,ARD,GB020,-11.9372542837956,28.0814051193154,Tungusic,0.952035547174634,0.0479644528253662
706,ARD,GB020,-11.9372542837956,28.0814051193154,Mongolic,0.952035547174634,0.0479644528253662
706,ARD,GB020,-11.9372542837956,28.0814051193154,Japonic,0.952035547174634,0.0479644528253662
706,ARD,GB020,-11.9372542837956,28.0814051193154,Koreanic,0.952035547174634,0.0479644528253662
706,ER,GB021,-11.1378940549654,24.3435847201002,Turkic,0.999997039604044,2.96039595630764e-06
706,ER,GB021,-11.1378940549654,24.3435847201002,Tungusic,0.999821847112814,0.000178152887185642
706,ER,GB021,-11.1378940549654,24.3435847201002,Mongolic,0.999987255833101,1.27441668992117e-05
706,ER,GB021,-11.1378940549654,24.3435847201002,Japonic,0.999998260682306,1.73931769392134e-06
706,ER,GB021,-11.1378940549654,24.3435847201002,Koreanic,0.999954761372807,4.52386271929826e-05
706,ARD,GB021,-11.1322459456613,26.4713884430467,Turkic,0.999990075120308,9.92487969156473e-06
706,ARD,GB021,-11.1322459456613,26.4713884430467,Tungusic,0.999392739814839,0.000607260185161201
706,ARD,GB021,-11.1322459456613,26.4713884430467,Mongolic,0.99995338322203,4.66167779698604e-05
706,ARD,GB021,-11.1322459456613,26.4713884430467,Japonic,0.999993897920461,6.10207953891109e-06
706,ARD,GB021,-11.1322459456613,26.4713884430467,Koreanic,0.999854166661612,0.000145833338388279
706,ER,GB022,-41.3687773575548,84.8053513252791,Turkic,0.5,0.5
706,ER,GB022,-41.3687773575548,84.8053513252791,Tungusic,0.5,0.5
706,ER,GB022,-41.3687773575548,84.8053513252791,Mongolic,0.5,0.5
706,ER,GB022,-41.3687773575548,84.8053513252791,Japonic,0.5,0.5
706,ER,GB022,-41.3687773575548,84.8053513252791,Koreanic,0.500000000000075,0.499999999999925
706,ARD,GB022,-33.7325053191266,71.6719071899772,Turkic,0.7495818085308,0.2504181914692
706,ARD,GB022,-33.7325053191266,71.6719071899772,Tungusic,0.7495818085308,0.2504181914692
706,ARD,GB022,-33.7325053191266,71.6719071899772,Mongolic,0.7495818085308,0.2504181914692
706,ARD,GB022,-33.7325053191266,71.6719071899772,Japonic,0.7495818085308,0.2504181914692
706,ARD,GB022,-33.7325053191266,71.6719071899772,Koreanic,0.749581808530801,0.250418191469199
706,ER,GB023,-16.0620705217116,34.1919376535928,Turkic,0.99998117391836,1.88260816404866e-05
706,ER,GB023,-16.0620705217116,34.1919376535928,Tungusic,0.99996241086946,3.7589130540248e-05
706,ER,GB023,-16.0620705217116,34.1919376535928,Mongolic,0.999684655919148,0.00031534408085197
706,ER,GB023,-16.0620705217116,34.1919376535928,Japonic,0.999988537218793,1.14627812069569e-05
706,ER,GB023,-16.0620705217116,34.1919376535928,Koreanic,0.999721809961093,0.00027819003890706
706,ARD,GB023,-13.5112732695252,31.2294430907745,Turkic,0.944312308314275,0.0556876916857246
706,ARD,GB023,-13.5112732695252,31.2294430907745,Tungusic,0.944315921046369,0.0556840789536314
706,ARD,GB023,-13.5112732695252,31.2294430907745,Mongolic,0.944305632476364,0.055694367523636
706,ARD,GB023,-13.5112732695252,31.2294430907745,Japonic,0.944344394834387,0.0556556051656126
706,ARD,GB023,-13.5112732695252,31.2294430907745,Koreanic,0.944412732727831,0.0555872672721694
706,ER,GB026,-18.6528416165946,39.3734798433586,Turkic,0.911215810523329,0.0887841894766714
706,ER,GB026,-18.6528416165946,39.3734798433586,Tungusic,0.208500681051897,0.791499318948103
706,ER,GB026,-18.6528416165946,39.3734798433586,Mongolic,0.960625439312621,0.0393745606873791
706,ER,GB026,-18.6528416165946,39.3734798433586,Japonic,0.987347289613185,0.0126527103868156
706,ER,GB026,-18.6528416165946,39.3734798433586,Koreanic,0.746141541641064,0.253858458358936
