Tree,Model,Feature,LogLikelihood,AICc,q01,q10
341,ER,GB020,-13.586045042112,29.2398866943934,0.0341182435735543,0.0341182435735543
341,ARD,GB020,-11.795442688139,27.7977819280022,0.121285111611532,2.14039630920423
341,ER,GB021,-9.69464245172211,21.4570815136137,0.0185616550177257,0.0185616550177257
341,ARD,GB021,-8.5878200566994,21.3825366651229,0.0718624796312408,2.01725023642064
341,ER,GB022,-41.5888308335961,85.2454582773618,70.463827980063,70.463827980063
341,ARD,GB022,-33.7401086691272,71.6871138899786,33.1939911071002,99.584616666174
341,ER,GB023,-14.7363640723039,31.5405247547773,0.0356415852773626,0.0356415852773626
341,ARD,GB023,-13.7016882951775,31.6102731420792,0.0739814197494402,0.888777738046473
341,ER,GB026,-14.5022474705321,31.0722915512338,0.114716600308188,0.114716600308188
341,ARD,GB026,-14.0934571607769,32.3938108732779,0.106016849702366,0.233812274233159
341,ER,GB027,-24.2601513195975,50.5880992493645,70.463827980063,70.463827980063
341,ARD,GB027,-24.2458636610423,52.6986238738087,94.4141575300368,99.9679444793371
341,ER,GB028,-30.2149688512965,62.4977343127625,0.170710737817961,0.170710737817961
341,ARD,GB028,-27.5736914617379,59.3542794751999,0.0627575412658432,0.366345145763082
341,ER,GB030,-4.61868990054122,11.3051764112519,7.58256042791191e-10,7.58256042791191e-10
341,ARD,GB030,-4.61868990054122,13.4442763528066,7.58256042791191e-10,7.58256042791191e-10
341,ER,GB031,-10.0207543478663,22.109305305902,0.0196314188237383,0.0196314188237383
341,ARD,GB031,-9.34590933407445,22.898715219873,0.048358516582218,0.984103344111365
341,ER,GB035,-31.9879018383274,66.0436002868242,0.279329240999412,0.279329240999412
341,ARD,GB035,-31.4125159510133,67.0319284537508,0.242684912272433,0.413696291507871
341,ER,GB037,-10.5133359949691,23.0944686001076,0.0195379109696959,0.0195379109696959
341,ARD,GB037,-8.55348963651605,21.3138758247562,0.182704842212326,5.23351720414761
341,ER,GB039,-28.8098382084271,59.6874730270236,0.229665478379181,0.229665478379181
341,ARD,GB039,-27.0295483827838,58.2659933172917,0.19159046718216,0.507513218590959
341,ER,GB041,-4.16402917334318,10.3958549568559,7.58256042791191e-10,7.58256042791191e-10
341,ARD,GB041,-4.16402917334318,12.5349548984105,7.58256042791191e-10,7.58256042791191e-10
341,ER,GB042,-4.63589035901151,11.3395773281925,7.58256042791191e-10,7.58256042791191e-10
341,ARD,GB042,-4.63589035901151,13.4786772697472,7.58256042791191e-10,7.58256042791191e-10
341,ER,GB043,-4.81817879754171,11.7041542052529,7.58256042791191e-10,7.58256042791191e-10
341,ARD,GB043,-4.81817879754171,13.8432541468075,7.58256042791191e-10,7.58256042791191e-10
341,ER,GB044,-31.3894707540719,64.8467381183132,0.240334259384619,0.240334259384619
341,ARD,GB044,-30.4099448149778,65.0267861816797,0.418715448421564,0.205334852383398
341,ER,GB046,-11.4300481555703,24.9278929213101,0.0721394921357245,0.0721394921357245
341,ARD,GB046,-11.2045395138376,26.6159755793993,7.58256042791191e-10,0.0663483807878087
