Tree,Feature,D,PVal1,PVal0
836,GB020,0.931728116198883,0.355,0.105
836,GB021,0.344355262083122,0.137,0.431
836,GB022,0.480359480280709,0.015,0.075
836,GB023,0.0286513904993543,0.031,0.496
836,GB026,-0.3559730452341,0.001,0.72
836,GB027,0.78372081123539,0.202,0.024
836,GB028,-0.297534858819089,0,0.78
836,GB030,-0.653954732576089,0.276,0.609
836,GB031,-1.06705330193539,0.002,0.885
836,GB035,-0.0123634144440226,0,0.548
836,GB037,1.61993843504017,0.756,0.099
836,GB039,0.143468337020815,0.001,0.37
836,GB041,-2.84157185510508,0.08,0.779
836,GB042,2.01874327242133,0.781,0.162
836,GB043,1.95034789017804,0.693,0.221
836,GB044,0.20577545535508,0,0.304
836,GB046,-0.338704745755247,0.008,0.701
836,GB047,0.380065113924777,0.21,0.352
836,GB048,0.607328581509071,0.18,0.194
836,GB049,0.368256150886763,0.104,0.315
836,GB057,-0.0333024601211296,0,0.549
836,GB059,-0.625839931632424,0,0.917
836,GB068,-0.380195538658449,0,0.831
836,GB069,-0.877172090821023,0,0.966
836,GB070,-1.31728873178956,0.008,0.842
836,GB071,-0.817482664287922,0.05,0.769
836,GB072,-1.2852171142433,0.01,0.819
836,GB073,-4.87419656975114,0,0.843
836,GB074,0.875944838145107,0.533,0.371
836,GB075,-3.70440641102793,0,0.828
836,GB079,0.142254154577549,0.175,0.626
836,GB080,-4.26104628920047,0,0.826
836,GB082,1.17998991091882,0.743,0.001
836,GB083,0.488897023624162,0.116,0.317
836,GB084,0.148049612449079,0,0.347
836,GB086,0.486293948465388,0.019,0.105
836,GB089,-0.454463273549246,0,0.918
836,GB091,-0.431089526562993,0,0.909
836,GB103,0.00250456744976922,0.153,0.503
836,GB105,0.535906066810873,0.128,0.234
836,GB107,-0.267121586427101,0,0.768
836,GB108,-0.445576508032332,0,0.826
836,GB110,1.80736736522008,0.605,0.283
836,GB111,-1.08080443780555,0,0.999
836,GB113,-4.67398214868689,0,0.848
836,GB114,-0.297249123648636,0,0.777
836,GB115,0.159357892276487,0.004,0.39
836,GB117,0.475295084074334,0.115,0.25
836,GB118,0.819232717458744,0.28,0.052
836,GB119,0.385873246766156,0.006,0.151
836,GB120,0.765324399408398,0.139,0.013
836,GB121,0.605390921349026,0.033,0.023
836,GB122,-0.418044912141912,0.001,0.767
836,GB123,-0.908421639934386,0.003,0.885
836,GB126,0.437144283619181,0.034,0.157
836,GB127,-3.54111311222108,0,0.957
836,GB132,0.977635838551507,0.395,0.057
836,GB133,-4.08176871612619,0,0.817
836,GB134,-0.192313147807387,0.047,0.613
836,GB135,0.446025022745312,0.082,0.227
836,GB136,0.0650117705298504,0,0.446
836,GB137,0.12274369569911,0,0.394
836,GB138,0.595912583530257,0.313,0.316
836,GB139,-0.0116564736663975,0,0.531
836,GB140,0.718136226907923,0.171,0.065
836,GB146,-0.902644270513623,0.002,0.879
836,GB147,-0.404681997004005,0.001,0.768
836,GB150,0.737550161260221,0.239,0.157
836,GB151,-1.10205753765044,0.128,0.628
836,GB152,0.94717053390019,0.413,0.016
836,GB155,-3.49727093328629,0,0.828
836,GB156,-0.0993643303835267,0.265,0.533
836,GB158,1.12621681461276,0.566,0.08
836,GB159,1.53781459009172,0.898,0.002
836,GB160,0.971019059638481,0.444,0.019
836,GB166,1.72303325727597,0.687,0.249
836,GB167,1.0658933712779,0.487,0.218
836,GB184,0.586444880176713,0.151,0.182
836,GB185,0.364383562948977,0.027,0.252
836,GB187,0.215719093128528,0.053,0.401
836,GB188,0.174209646275579,0.042,0.415
836,GB196,-0.621681573136796,0.283,0.609
836,GB197,-0.39198215593366,0.279,0.585
836,GB204,1.12871384478183,0.558,0.04
836,GB250,-0.353721658256351,0.014,0.684
836,GB252,0.331577295246581,0.032,0.27
836,GB253,-0.623473001073183,0,0.892
836,GB254,0.137667182429414,0.003,0.383
836,GB256,-0.500784531777781,0,0.817
836,GB257,0.89308125532096,0.315,0.009
836,GB263,0.638023371804468,0.124,0.113
836,GB264,0.916341284392151,0.383,0.143
836,GB265,-0.525901052762322,0.188,0.63
836,GB266,-0.429834161258263,0,0.831
836,GB273,-0.57435055238955,0,0.911
836,GB275,0.460124052423598,0.029,0.135
836,GB276,0.528472827454954,0.174,0.228
836,GB285,-3.44795178050056,0.017,0.832
836,GB286,1.31279264214119,0.772,0.005
836,GB296,0.3972540831215,0.025,0.205
836,GB297,-2.43829883847385,0.033,0.808
836,GB298,-0.418860175454126,0,0.852
836,GB299,-0.190144578415792,0,0.708
836,GB301,0.129003378357972,0.071,0.485
836,GB302,1.88474106902073,0.69,0.245
836,GB304,-0.0228663226228505,0.007,0.541
836,GB305,-1.54372353438662,0.003,0.892
836,GB306,-0.508458156726097,0.012,0.772
836,GB309,-0.0391616329609792,0,0.566
836,GB312,0.0182911644628611,0.09,0.535
836,GB313,0.525883047913952,0.077,0.141
836,GB316,1.9713776165549,0.795,0.172
836,GB318,1.91879103487236,0.792,0.169
836,GB322,0.730766435687872,0.122,0.027
836,GB323,1.00228519245065,0.478,0.002
836,GB324,1.24224669396324,0.854,0
836,GB325,1.05486873174095,0.558,0
836,GB326,0.670519526373329,0.218,0.184
836,GB327,0.616982835751746,0.08,0.069
836,GB328,-0.41606389661677,0.068,0.659
836,GB329,0.46023556853998,0.096,0.23
836,GB330,-2.78144069154953,0.039,0.803
836,GB333,-4.58676481526378,0,0.827
836,GB400,0.876834267823629,0.324,0.075
836,GB401,0.780046078638757,0.352,0.172
836,GB403,-1.11212155644288,0,0.896
836,GB408,0.00542131155715911,0.082,0.522
836,GB409,1.58998373990512,0.541,0.368
836,GB410,-0.253189687473253,0,0.767
836,GB415,0.635318945434814,0.053,0.025
836,GB421,-0.371636851677508,0.003,0.725
836,GB422,-1.02323335456239,0,0.948
836,GB431,2.1951844949513,0.917,0.023
836,GB432,-0.0579502779624959,0,0.576
836,GB433,-1.05841750223767,0,0.999
836,GB519,0.783847617066848,0.167,0.016
836,GB520,2.14656130981965,0.845,0.051
836,GB521,0.765037088646306,0.293,0.151
836,GB522,-1.90163817793584,0.005,0.895
836,TE003,-0.451475666766633,0,0.915
836,TE004,-0.49942846876861,0,0.831
836,TE005,-0.527567788468519,0,0.864
836,TE006,-0.718506689338044,0,0.926
836,TE007,-0.400026705989286,0,0.776
836,TE008,0.341694513305265,0.003,0.195
836,TE018,-0.417120750718923,0,0.867
836,TE019,-0.617764411163127,0,0.944
836,TE027,0.415579014589251,0.003,0.093
836,TE031,-0.136733491394264,0,0.668
836,TE037,0.5707099263024,0.012,0.033
836,TE038,-0.617108970545691,0,0.936
836,TE039,0.269974237243716,0.001,0.21
836,TE050,1.56724406848978,0.748,0.09
836,TE052,-0.699285895873134,0,0.981
836,TE053,0.167950069535247,0,0.325
836,TE054,0.800692118171384,0.309,0.093
836,TE059,0.589222748854928,0.104,0.117
836,TE066,-0.970853794085092,0,1
836,TE078,0.225068841410423,0.065,0.417
836,TS001,0.460329474873778,0.152,0.335
836,TS002,-0.137453272782715,0,0.654
836,TS003,-5.26940131577977,0,0.856
836,TS005,-4.45696977360793,0,0.838
836,TS006,-0.774352239507695,0,0.981
836,TS007,-5.40948828465038,0,0.866
836,TS009,1.34567095447061,0.784,0.003
836,TS010,0.615347421633917,0.155,0.134
836,TS079,-0.163300490706648,0.003,0.608
836,TS080,-0.0568557008058112,0,0.577
836,TS086,-4.21044437702139,0,0.827
836,TS088,-0.142684937028779,0,0.652
