Tree,Feature,D,PVal1,PVal0
610,GB020,0.83568531905116,0.269,0.179
610,GB021,1.04206964470094,0.475,0.162
610,GB022,0.654591179038664,0.063,0.024
610,GB023,-0.0698014965649948,0.017,0.566
610,GB026,-0.165603220279234,0.005,0.634
610,GB027,0.553256860991349,0.091,0.13
610,GB028,-0.303448171982887,0,0.804
610,GB030,-0.0625956109591229,0.425,0.412
610,GB031,-0.146994760303107,0.03,0.606
610,GB035,0.0568165344799622,0,0.43
610,GB037,1.76855555119433,0.763,0.11
610,GB039,0.0646282652564272,0,0.447
610,GB041,-2.10569307581143,0.075,0.781
610,GB042,2.32238589319688,0.795,0.114
610,GB043,2.02466830793096,0.686,0.245
610,GB044,0.305567896341897,0.001,0.182
610,GB046,-0.135672204364206,0.047,0.613
610,GB047,-0.165734595086405,0.059,0.596
610,GB048,0.746890657886648,0.272,0.134
610,GB049,0.0465282567423001,0.054,0.487
610,GB057,0.0529590074802447,0.001,0.451
610,GB059,-0.409334413469818,0,0.823
610,GB068,-0.180907049357848,0,0.691
610,GB069,-0.564286236191834,0,0.889
610,GB070,-0.686729817081514,0.017,0.772
610,GB071,-0.861206929444101,0.015,0.77
610,GB072,-0.770295733323485,0.014,0.789
610,GB073,-5.27916696757597,0,0.856
610,GB074,-0.261988316631967,0.339,0.523
610,GB075,-5.9126137469964,0,0.848
610,GB079,0.575789423478573,0.267,0.522
610,GB080,-5.3806876409045,0,0.847
610,GB082,1.09762874977066,0.625,0.005
610,GB083,0.308819682209254,0.065,0.405
610,GB084,0.0516137045272539,0,0.447
610,GB086,0.619587099748326,0.055,0.034
610,GB089,-0.364150949356064,0,0.886
610,GB091,-0.357426605123755,0,0.862
610,GB103,0.133449554691629,0.177,0.496
610,GB105,0.627007893398675,0.142,0.154
610,GB107,-0.27641290591897,0,0.783
610,GB108,-0.459432125531634,0,0.833
610,GB110,0.491799381943264,0.527,0.384
610,GB111,-1.0629261988197,0,0.998
610,GB113,-6.33128640295679,0,0.859
610,GB114,-0.489328063760447,0,0.868
610,GB115,0.283742129362653,0.022,0.283
610,GB117,0.538491965335449,0.122,0.217
610,GB118,0.718765001409141,0.224,0.113
610,GB119,0.274564493378046,0,0.195
610,GB120,0.801636315362033,0.167,0.007
610,GB121,0.600185633759597,0.022,0.02
610,GB122,-0.0983043901580249,0.005,0.582
610,GB123,-1.30481623438025,0,0.938
610,GB126,0.456269868802548,0.042,0.145
610,GB127,-1.78799973796149,0.024,0.903
610,GB132,0.953400153830178,0.357,0.043
610,GB133,-4.75420968759379,0,0.832
610,GB134,-0.661915767124518,0.013,0.739
610,GB135,0.765933947218326,0.27,0.108
610,GB136,0.0562683215745595,0.002,0.468
610,GB137,0.0240180830412572,0,0.481
610,GB138,0.523422071432013,0.321,0.366
610,GB139,0.0626544168781747,0,0.461
610,GB140,0.605608642435945,0.111,0.121
610,GB146,-0.489905674103236,0,0.772
610,GB147,-0.363941892344353,0,0.768
610,GB150,0.484297630383985,0.114,0.286
610,GB151,-2.00469336515102,0.081,0.761
610,GB152,1.10537790949924,0.615,0.004
610,GB155,-7.52984264828898,0,0.85
610,GB156,-0.871274298749685,0.141,0.667
610,GB158,0.887099580567244,0.409,0.135
610,GB159,1.20128192004959,0.66,0.004
610,GB160,1.09922991978805,0.602,0.005
610,GB166,1.70047301366607,0.676,0.231
610,GB167,2.01410786484575,0.766,0.12
610,GB184,0.681744712584926,0.21,0.151
610,GB185,0.305447909911971,0.023,0.27
610,GB187,-0.00717622565489579,0.027,0.528
610,GB188,0.198725566997299,0.055,0.402
610,GB196,-0.282597113693638,0.399,0.437
610,GB197,-0.398296931255447,0.411,0.47
610,GB204,1.33674248964984,0.648,0.072
610,GB250,-0.702825135342176,0.012,0.825
610,GB252,0.538852628096264,0.097,0.176
610,GB253,-0.642220950188439,0,0.903
610,GB254,0.250166441589883,0.005,0.308
610,GB256,-0.435336976565638,0,0.776
610,GB257,0.79790889279775,0.205,0.022
610,GB263,0.682004998440495,0.162,0.087
610,GB264,1.21045555734345,0.613,0.083
610,GB265,0.266383469021165,0.386,0.397
610,GB266,-0.560819679729737,0,0.901
610,GB273,-0.380528456816512,0,0.864
610,GB275,0.300588841330835,0.014,0.238
610,GB276,-0.0718256095028994,0.042,0.557
610,GB285,0.535418246164711,0.451,0.406
610,GB286,0.882450839182541,0.38,0.086
610,GB296,0.421610881225104,0.019,0.162
610,GB297,1.07192964135351,0.508,0.336
610,GB298,-0.236539756354608,0,0.756
610,GB299,-0.171182214322633,0,0.683
610,GB301,0.178309579514634,0.093,0.464
610,GB302,2.09318524169406,0.703,0.189
610,GB304,0.152266561094316,0.031,0.433
610,GB305,-1.20005492363429,0.018,0.825
610,GB306,-0.0322192361193615,0.059,0.543
610,GB309,-0.0194348132860773,0,0.538
610,GB312,-0.0466778765171699,0.056,0.567
610,GB313,0.49254195218704,0.069,0.169
610,GB316,2.40542190784918,0.817,0.14
610,GB318,2.28670887546882,0.774,0.133
610,GB322,0.620775117655854,0.053,0.032
610,GB323,1.03299307377338,0.543,0.001
610,GB324,1.30130504701841,0.915,0
610,GB325,0.951348821291991,0.408,0.006
610,GB326,0.789570619600828,0.301,0.144
610,GB327,0.672723651417945,0.132,0.074
610,GB328,-0.44038552140436,0.071,0.644
610,GB329,0.824508168819286,0.305,0.09
610,GB330,-1.76744229484814,0.044,0.828
610,GB333,-3.62341783422057,0,0.828
610,GB400,1.20809137212052,0.678,0.02
610,GB401,1.01274105780862,0.496,0.153
610,GB403,-1.91193203390459,0,0.969
610,GB408,-0.621608651337695,0.024,0.731
610,GB409,-0.00389001746816493,0.38,0.462
610,GB410,-0.137585437067303,0,0.674
610,GB415,0.426810592392582,0.01,0.091
610,GB421,-0.273770048393914,0.015,0.677
610,GB422,-1.0115467542229,0,0.952
610,GB431,0.578927426288212,0.364,0.478
610,GB432,0.0488022743714057,0,0.458
610,GB433,-0.905381851397741,0,0.999
610,GB519,0.839041591013025,0.231,0.009
610,GB520,1.53595844991266,0.75,0.099
610,GB521,0.986616331288419,0.477,0.078
610,GB522,-0.436972441721338,0.061,0.638
610,TE003,-0.412167950121788,0,0.9
610,TE004,-0.627915744106327,0,0.903
610,TE005,-0.182603885998779,0,0.684
610,TE006,-0.683912195596384,0,0.913
610,TE007,-0.191163191450364,0,0.66
610,TE008,0.272224632505631,0.004,0.254
610,TE018,-0.329317615154424,0,0.818
610,TE019,-0.430156995614872,0,0.886
610,TE027,0.608266307895516,0.032,0.019
610,TE031,-0.255214193251996,0,0.763
610,TE037,0.668069845401949,0.048,0.01
610,TE038,-0.532306464727705,0,0.942
610,TE039,0.34428910032033,0.002,0.145
610,TE050,0.806879095215552,0.409,0.268
610,TE052,-0.541671315379555,0,0.954
610,TE053,0.239638553909367,0.002,0.238
