Tree,Feature,D,PVal1,PVal0
980,GB020,1.0230961988999,0.457,0.084
980,GB021,1.00131353335569,0.413,0.197
980,GB022,0.629115183023202,0.033,0.028
980,GB023,0.185765963664646,0.031,0.401
980,GB026,0.0998112590228352,0.01,0.443
980,GB027,0.838232314720409,0.251,0.018
980,GB028,0.0234213426530144,0.001,0.494
980,GB030,-0.471452957325899,0.169,0.604
980,GB031,-0.230392321261178,0.034,0.585
980,GB035,0.238790075871648,0,0.256
980,GB037,0.88665855534376,0.456,0.246
980,GB039,0.112895686668899,0,0.403
980,GB041,-3.74210504460856,0.055,0.803
980,GB042,2.95500123335846,0.93,0.014
980,GB043,2.26657580108023,0.82,0.116
980,GB044,0.341015838315716,0.001,0.165
980,GB046,0.0177529496442891,0.028,0.515
980,GB047,-0.0927604288063078,0.082,0.552
980,GB048,0.855574641730283,0.365,0.085
980,GB049,0.251518101651781,0.073,0.401
980,GB057,0.0780125377826761,0,0.438
980,GB059,-0.422550312130105,0,0.843
980,GB068,-0.143086874333915,0,0.659
980,GB069,-0.594315731681255,0,0.915
980,GB070,-0.836572027275362,0.022,0.807
980,GB071,-0.734205784048462,0.043,0.749
980,GB072,-0.856298105668781,0.015,0.803
980,GB073,-4.14440021183861,0,0.839
980,GB074,3.00576684812018,0.887,0.076
980,GB075,-4.30449332940437,0,0.824
980,GB079,-0.0466728462496991,0.112,0.667
980,GB080,-4.50383349538218,0,0.833
980,GB082,1.32386446767219,0.894,0.001
980,GB083,0.443984241772119,0.1,0.317
980,GB084,0.197676769190577,0,0.289
980,GB086,0.591350216966791,0.036,0.058
980,GB089,-0.210142242639235,0,0.764
980,GB091,-0.203998569781771,0,0.755
980,GB103,0.343582453825988,0.259,0.41
980,GB105,0.630500152606134,0.135,0.109
980,GB107,-0.153593816779508,0,0.677
980,GB108,-0.195430829424083,0.001,0.693
980,GB110,1.86828392085564,0.611,0.266
980,GB111,-0.895194192472208,0,0.991
980,GB113,-3.45371971007581,0,0.818
980,GB114,-0.35837960381489,0,0.818
980,GB115,0.342794410413437,0.009,0.229
980,GB117,0.564952212998769,0.131,0.156
980,GB118,0.909114006317776,0.364,0.035
980,GB119,0.459039312830298,0.005,0.088
980,GB120,0.834974574520273,0.202,0.006
980,GB121,0.492740034840167,0.001,0.043
980,GB122,-0.0944039962270914,0.001,0.581
980,GB123,-0.742353428008584,0.001,0.879
980,GB126,0.619931960628574,0.071,0.062
980,GB127,-2.42053295926607,0.001,0.983
980,GB132,0.863858440891174,0.283,0.089
980,GB133,-4.48157551543603,0,0.82
980,GB134,0.224501371829794,0.078,0.413
980,GB135,0.773157519325865,0.267,0.077
980,GB136,-0.0369744128835321,0,0.568
980,GB137,0.0909258461346488,0,0.434
980,GB138,-0.182285679953562,0.123,0.545
980,GB139,0.215010391790117,0,0.284
980,GB140,0.438082502991184,0.057,0.19
980,GB146,-0.200465305439779,0.005,0.629
980,GB147,0.0878020384857882,0.005,0.434
980,GB150,0.646538114524357,0.214,0.179
980,GB151,1.20906658600705,0.539,0.383
980,GB152,1.22791336238194,0.804,0.001
980,GB155,-4.7133410808244,0,0.832
980,GB156,0.155661894036928,0.307,0.605
980,GB158,0.971901411697247,0.476,0.096
980,GB159,1.42419906693771,0.881,0
980,GB160,1.05817468650586,0.564,0.003
980,GB166,2.36330830921972,0.824,0.119
980,GB167,0.891406493019207,0.438,0.23
980,GB184,0.919493898029182,0.393,0.054
980,GB185,0.700941221830223,0.118,0.04
980,GB187,-0.0815076269740169,0.012,0.593
980,GB188,0.198373180746063,0.052,0.374
980,GB196,-0.523006749152788,0.177,0.631
980,GB197,-0.570847670812062,0.196,0.636
980,GB204,1.17827059985326,0.599,0.032
980,GB250,-0.157989214657912,0.015,0.621
980,GB252,0.521738709674793,0.072,0.154
980,GB253,-0.176015109679304,0,0.667
980,GB254,0.113374988014031,0,0.387
980,GB256,-0.0481131378104963,0.004,0.556
980,GB257,0.887625181563731,0.314,0.02
980,GB263,0.830607687418718,0.293,0.04
980,GB264,0.700363642098619,0.301,0.212
980,GB265,-0.105897398314855,0.199,0.619
980,GB266,-0.474170349265531,0,0.834
980,GB273,-0.378967344437501,0,0.83
980,GB275,0.284270339164154,0.008,0.253
980,GB276,0.0901901406410937,0.047,0.482
980,GB285,-2.3043444310721,0.058,0.747
980,GB286,1.40185828046852,0.869,0.006
980,GB296,0.476160898578379,0.021,0.112
980,GB297,-2.77771430429652,0.069,0.793
980,GB298,-0.229118756755636,0,0.724
980,GB299,-0.14106141670303,0,0.658
980,GB301,-0.151807549388842,0.023,0.594
980,GB302,0.986301517085524,0.496,0.378
980,GB304,0.38911438873108,0.068,0.241
980,GB305,-1.49489725210411,0.014,0.838
980,GB306,-0.0413447628354341,0.034,0.532
980,GB309,-0.0377661782725664,0,0.564
980,GB312,0.292812737531285,0.097,0.436
980,GB313,0.642598297368748,0.099,0.08
980,GB316,3.23611705550752,0.95,0.017
980,GB318,3.1888203457931,0.941,0.021
980,GB322,0.608685814302578,0.049,0.055
980,GB323,1.02973036728067,0.535,0.001
980,GB324,1.07368288332862,0.632,0
980,GB325,0.976350961252878,0.428,0.007
980,GB326,0.880633896025696,0.378,0.07
980,GB327,0.58805318773498,0.064,0.077
980,GB328,-0.552292339355931,0.04,0.684
980,GB329,0.527145900457455,0.142,0.217
980,GB330,-2.20183878359118,0.165,0.697
980,GB333,-3.67651591109145,0,0.81
980,GB400,1.08789142622587,0.568,0.031
980,GB401,1.15238630952021,0.537,0.095
980,GB403,-1.52360653847683,0,0.973
980,GB408,-0.276583873386472,0.035,0.672
980,GB409,0.769804488697899,0.426,0.445
980,GB410,-0.183314400473148,0,0.729
980,GB415,0.686390313410547,0.047,0.02
980,GB421,-0.294620008028917,0.001,0.717
980,GB422,-0.395708055224058,0,0.783
980,GB431,0.811206456313674,0.382,0.461
980,GB432,0.0618038758688919,0,0.43
980,GB433,-0.789664519414058,0,0.995
980,GB519,0.640480458044813,0.073,0.05
980,GB520,1.67080335695579,0.762,0.085
980,GB521,1.24477940409874,0.683,0.027
980,GB522,-0.483439541084993,0.067,0.69
980,TE003,-0.483265085763144,0,0.952
980,TE004,-0.197502407953854,0,0.672
980,TE005,-0.182223476406244,0.001,0.681
980,TE006,-0.248875936304851,0,0.715
980,TE007,-0.00841987879638673,0,0.513
980,TE008,0.353807907516279,0.002,0.195
980,TE018,-0.313266483787675,0,0.788
980,TE019,-0.306352942823009,0,0.798
980,TE027,0.524505199106846,0.013,0.06
980,TE031,0.0400900247194222,0,0.483
980,TE037,0.676840535541064,0.042,0.015
980,TE038,-0.439782716870296,0,0.897
980,TE039,0.45223482877341,0.005,0.092
980,TE050,0.83690334667603,0.445,0.236
980,TE052,-0.445306098908185,0,0.928
980,TE053,0.252048535017078,0,0.226
980,TE054,0.566986415819057,0.113,0.141
980,TE059,0.468766603625117,0.051,0.187
980,TE066,-0.792998547689722,0,0.992
980,TE078,-0.0345689341906717,0.022,0.517
980,TS001,0.306711569526015,0.105,0.366
980,TS002,-0.0638608199384912,0,0.56
980,TS003,-3.99348949654903,0,0.824
980,TS005,-4.83962341053314,0,0.838
980,TS006,-0.49493464750937,0,0.921
980,TS007,-5.80281796986028,0,0.847
980,TS009,0.958882515067735,0.417,0.039
980,TS010,0.663109929709968,0.175,0.118
980,TS079,-0.0942498748473849,0.008,0.588
980,TS080,0.112505626135181,0,0.38
980,TS086,-4.81372973821484,0,0.816
980,TS088,0.00304942774851204,0,0.521
