Tree,Feature,D,PVal1,PVal0
820,GB020,0.93486963186712,0.342,0.115
820,GB021,0.664340996877264,0.192,0.305
820,GB022,0.545103965870823,0.016,0.04
820,GB023,0.0270647417278383,0.008,0.49
820,GB026,-0.183999412135151,0.008,0.651
820,GB027,0.565884901027049,0.083,0.074
820,GB028,-0.161937920354303,0,0.706
820,GB030,-1.03759170567817,0.133,0.71
820,GB031,0.179902522999152,0.068,0.434
820,GB035,0.122364494313481,0,0.321
820,GB037,2.34284918692031,0.96,0.024
820,GB039,0.250846372541914,0,0.221
820,GB041,0.78738367653352,0.462,0.422
820,GB042,1.13648021081459,0.438,0.376
820,GB043,2.2539560198503,0.925,0.079
820,GB044,0.326403915390704,0.002,0.158
820,GB046,0.00671009456153469,0.032,0.515
820,GB047,-0.272696391520439,0.03,0.654
820,GB048,0.721703944225568,0.232,0.108
820,GB049,0.00295231825742355,0.02,0.53
820,GB057,-0.0295400174105738,0,0.543
820,GB059,-0.501803161767175,0,0.902
820,GB068,-0.141957809518594,0,0.671
820,GB069,-0.624894074402282,0,0.937
820,GB070,-0.935605063750433,0.007,0.786
820,GB071,-0.605779043330075,0.018,0.743
820,GB072,-0.909902842952515,0.009,0.783
820,GB073,-5.01691176075869,0,0.848
820,GB074,4.7369711821182,0.974,0.032
820,GB075,-4.21976464509719,0,0.847
820,GB079,-0.184224496232944,0.153,0.617
820,GB080,-4.88906309934879,0,0.849
820,GB082,1.208873787211,0.782,0
820,GB083,0.514369548899732,0.115,0.282
820,GB084,0.0430038833242029,0,0.436
820,GB086,0.76574988456856,0.156,0.007
820,GB089,-0.477793829686515,0,0.959
820,GB091,-0.462812182108938,0,0.961
820,GB103,0.124837959489562,0.148,0.467
820,GB105,0.516668731910691,0.08,0.207
820,GB107,-0.285540927266537,0,0.822
820,GB108,-0.281420010100479,0,0.758
820,GB110,1.85893172224409,0.615,0.25
820,GB111,-1.03413900290793,0,1
820,GB113,-4.92474653235875,0,0.856
820,GB114,-0.482156147375146,0,0.933
820,GB115,0.249446201821997,0.012,0.291
820,GB117,0.71248113417773,0.213,0.103
820,GB118,1.03931976710221,0.499,0.012
820,GB119,0.325110359183688,0.003,0.128
820,GB120,0.718855253520808,0.091,0.011
820,GB121,0.669216385559574,0.056,0.011
820,GB122,-0.302937036935839,0.001,0.75
820,GB123,-1.56496524467141,0,0.992
820,GB126,0.466951617067222,0.047,0.118
820,GB127,-0.156890343483439,0.16,0.514
820,GB132,1.07734043270063,0.522,0.021
820,GB133,-6.19908414940751,0,0.876
820,GB134,0.0762808606783665,0.066,0.466
820,GB135,0.625185600252396,0.152,0.15
820,GB136,0.0256199933627043,0.001,0.478
820,GB137,-0.034982629659865,0,0.569
820,GB138,0.811642433507936,0.382,0.267
820,GB139,0.000209332577160969,0,0.51
820,GB140,0.391264198099928,0.039,0.251
820,GB146,-0.686143675803297,0.004,0.829
820,GB147,-0.362729928210669,0,0.772
820,GB150,0.853544456807785,0.306,0.112
820,GB151,-1.30513875960757,0.147,0.703
820,GB152,1.13263825081548,0.658,0.001
