Tree,Feature,D,PVal1,PVal0
310,GB020,0.965036255774137,0.375,0.075
310,GB021,0.860292991432536,0.296,0.216
310,GB022,0.635075184746499,0.032,0.019
310,GB023,0.261259833785348,0.026,0.309
310,GB026,0.132641040525039,0.013,0.403
310,GB027,0.789100636149495,0.2,0.014
310,GB028,-0.103943604771261,0,0.648
310,GB030,-0.607383013338484,0.115,0.655
310,GB031,-0.562453494250213,0.009,0.729
310,GB035,0.176813245775266,0,0.273
310,GB037,1.11266568983681,0.616,0.146
310,GB039,0.236125025701189,0,0.247
310,GB041,0.0944134490910495,0.338,0.496
310,GB042,1.50300393045026,0.609,0.269
310,GB043,1.56892810400868,0.709,0.179
310,GB044,0.30358806644949,0.001,0.16
310,GB046,0.16605505907551,0.054,0.382
310,GB047,-0.710771206800658,0.014,0.789
310,GB048,0.632441317776716,0.175,0.127
310,GB049,0.122742179868975,0.026,0.427
310,GB057,0.0719664427243258,0,0.419
310,GB059,-0.396036862766724,0,0.845
310,GB068,-0.00509857257879433,0,0.51
310,GB069,-0.487617030081774,0,0.895
310,GB070,-0.526021700113098,0.015,0.742
310,GB071,-0.74644279880607,0.014,0.777
310,GB072,-0.482586997407922,0.017,0.712
310,GB073,-3.7764479764227,0,0.818
310,GB074,2.79663575937067,0.848,0.089
310,GB075,-4.15957939203862,0,0.83
310,GB079,-0.387670913698701,0.108,0.702
310,GB080,-3.81625687455593,0,0.81
310,GB082,1.08417629347678,0.612,0
310,GB083,0.59211448372442,0.127,0.236
310,GB084,0.168047159726313,0,0.305
310,GB086,0.716559597871913,0.097,0.013
310,GB089,-0.224491795521932,0,0.77
310,GB091,-0.20217721701414,0,0.765
310,GB103,0.149037335217064,0.122,0.53
310,GB105,0.580531290473552,0.099,0.127
310,GB107,-0.20427807143006,0,0.731
310,GB108,-0.24871102819902,0,0.73
310,GB110,1.77514541320186,0.636,0.258
310,GB111,-0.711488882078913,0,0.974
310,GB113,-4.56235410063417,0,0.831
310,GB114,-0.154382452027099,0,0.691
310,GB115,0.266746835053082,0.005,0.246
310,GB117,0.962993171967151,0.416,0.028
310,GB118,0.897642172512456,0.354,0.024
310,GB119,0.429718836093957,0.001,0.078
310,GB120,0.851333320814603,0.228,0.001
310,GB121,0.651907953434795,0.021,0.006
310,GB122,-0.127898523549788,0,0.622
310,GB123,-1.03371703130793,0,0.923
310,GB126,0.667752965360567,0.104,0.045
310,GB127,-3.1690595449231,0,1
