Tree,Feature,D,PVal1,PVal0
240,GB020,0.967043163799008,0.363,0.091
240,GB021,1.18121327955537,0.557,0.078
240,GB022,0.536202569754447,0.014,0.057
240,GB023,0.041617374057496,0.013,0.507
240,GB026,0.125218548214906,0.004,0.427
240,GB027,0.67570225931808,0.111,0.021
240,GB028,-0.102235084112351,0,0.618
240,GB030,-0.450889809192294,0.175,0.563
240,GB031,0.918131969206262,0.384,0.112
240,GB035,0.269032350432285,0,0.235
240,GB037,1.48465344028641,0.772,0.081
240,GB039,0.258737308453035,0,0.23
240,GB041,1.79490472961516,0.777,0.126
240,GB042,1.66487691056643,0.714,0.134
240,GB043,1.91794071989974,0.946,0.06
240,GB044,0.350251986382173,0,0.144
240,GB046,-0.207744649561383,0.01,0.608
240,GB047,0.0949691162986769,0.079,0.48
240,GB048,0.524319984536986,0.118,0.185
240,GB049,0.198864112702414,0.048,0.378
240,GB057,0.0705234369482207,0,0.436
240,GB059,-0.504446942107558,0,0.881
240,GB068,0.0802507214293976,0,0.421
240,GB069,-0.488785581638625,0,0.871
240,GB070,-0.516051278056263,0.011,0.729
240,GB071,-0.982990486018483,0.005,0.795
240,GB072,-0.408623371691933,0.01,0.709
240,GB073,-3.14377346559878,0,0.803
240,GB074,-1.94245484756971,0.037,0.789
240,GB075,-3.19200271959467,0,0.811
240,GB079,0.291888362954495,0.189,0.509
240,GB080,-2.80242201351299,0,0.773
240,GB082,1.19303937527336,0.783,0
240,GB083,0.522522818591085,0.099,0.285
240,GB084,0.167711623887621,0,0.292
240,GB086,0.424057653536418,0.008,0.109
240,GB089,-0.212129682092169,0,0.749
240,GB091,-0.242514593120455,0,0.793
240,GB103,0.381290015810101,0.204,0.397
240,GB105,0.600330157443023,0.135,0.144
240,GB107,-0.181295377335598,0,0.691
240,GB108,-0.293241714335761,0,0.772
240,GB110,1.77692741675879,0.706,0.169
240,GB111,-0.696787700014942,0,0.98
240,GB113,-2.9257982787967,0,0.796
240,GB114,-0.309951985176832,0,0.791
240,GB115,0.212962110549327,0.002,0.308
240,GB117,0.692016603333442,0.178,0.106
240,GB118,0.808775929998641,0.255,0.032
240,GB119,0.447457068615732,0.002,0.077
240,GB120,0.802131008497323,0.147,0.001
240,GB121,0.670737989873791,0.03,0.004
240,GB122,-0.146515800992046,0.001,0.632
240,GB123,-1.11431787762168,0,0.962
240,GB126,0.563986765492376,0.045,0.077
240,GB127,-1.33704716801665,0.011,0.921
240,GB132,1.3004677660797,0.836,0.005
240,GB133,-3.00484078189985,0,0.797
240,GB134,1.4565403520467,0.773,0.034
240,GB135,1.06050632443529,0.55,0.013
240,GB136,0.139327720531252,0.001,0.374
240,GB137,0.202229619026499,0,0.277
240,GB138,0.762180278226797,0.375,0.216
240,GB139,0.136506757667905,0,0.352
240,GB140,0.765877029869403,0.207,0.051
240,GB146,-0.195531413828281,0.001,0.631
240,GB147,-0.0526591467131714,0,0.565
240,GB150,1.36471267454462,0.82,0.013
240,GB151,-1.82784923200864,0.029,0.761
240,GB152,1.31499379087358,0.892,0
240,GB155,-3.14113661138997,0,0.796
240,GB156,-0.546221317021364,0.183,0.527
240,GB158,0.922220470151439,0.401,0.072
240,GB159,1.27077476973442,0.767,0.004
240,GB160,0.903011950585774,0.327,0.014
240,GB166,2.11512455612714,0.93,0.035
240,GB167,1.53682195470181,0.774,0.078
240,GB184,0.723745771531991,0.244,0.116
240,GB185,0.70374388567294,0.128,0.039
240,GB187,-0.269107865750359,0.007,0.699
240,GB188,0.472226287917165,0.083,0.202
240,GB196,-0.440243784172413,0.186,0.53
240,GB197,-0.280799894959785,0.185,0.521
240,GB204,1.1108208252382,0.562,0.04
240,GB250,0.0885476407199903,0.033,0.461
240,GB252,0.71625471921828,0.155,0.074
240,GB253,-0.327461949261452,0,0.766
240,GB254,0.369460556225298,0,0.158
240,GB256,-0.0158091716648466,0.002,0.539
240,GB257,0.97023298061896,0.417,0.001
240,GB263,0.707779569624195,0.135,0.061
240,GB264,0.666862735449598,0.208,0.208
240,GB265,-0.12390800519716,0.264,0.395
240,GB266,-0.499627378438598,0,0.872
240,GB273,-0.104752244971564,0,0.628
240,GB275,0.489226070424397,0.019,0.096
240,GB276,0.315590547221994,0.07,0.341
240,GB285,0.160004730557975,0.229,0.51
240,GB286,1.29386121279887,0.806,0
240,GB296,0.574648985547604,0.032,0.07
240,GB297,0.87979434269984,0.532,0.319
240,GB298,-0.220287753388466,0,0.759
240,GB299,-0.0793026359624918,0,0.582
240,GB301,-0.0675931318498886,0.02,0.564
240,GB302,2.74769706982231,0.874,0.088
240,GB304,0.183901532177914,0.028,0.394
240,GB305,0.862386892826813,0.414,0.239
240,GB306,0.331380860868449,0.107,0.337
240,GB309,-0.0250594441727736,0,0.549
240,GB312,0.0860961540050905,0.056,0.502
240,GB313,0.925286775495531,0.391,0.013
240,GB316,1.58494635619869,0.743,0.117
240,GB318,1.68040390632031,0.732,0.156
240,GB322,0.601411721251852,0.051,0.045
240,GB323,1.033064406193,0.541,0
240,GB324,1.16441572876289,0.787,0
240,GB325,1.1249619546693,0.672,0
240,GB326,0.596797657478266,0.146,0.144
240,GB327,0.696267930425208,0.121,0.044
240,GB328,0.339830657348044,0.245,0.403
240,GB329,0.910899388142685,0.382,0.055
240,GB330,-1.51542432379675,0.121,0.73
240,GB333,-2.75350383429462,0,0.79
240,GB400,0.44788840415233,0.07,0.228
240,GB401,0.667738275112827,0.26,0.158
240,GB403,-0.991948626771312,0.001,0.92
240,GB408,0.112877204778242,0.047,0.53
240,GB409,0.00072858515955417,0.233,0.513
240,GB410,-0.0670509142458521,0,0.606
240,GB415,0.600040140916848,0.015,0.018
240,GB421,0.149347283956707,0.024,0.39
240,GB422,-0.35897495590095,0,0.791
240,GB431,1.80912621023296,0.859,0.066
240,GB432,0.147496824414667,0,0.36
240,GB433,-0.734126738928023,0,1
240,GB519,0.864875380449145,0.251,0.007
240,GB520,0.420272306059815,0.175,0.367
240,GB521,1.31683798653319,0.768,0.009
240,GB522,0.457825929611914,0.269,0.363
240,TE003,-0.361281479626397,0,0.87
240,TE004,-0.473096353539159,0,0.856
240,TE005,-0.167440667375816,0,0.686
240,TE006,-0.286260062890368,0,0.756
240,TE007,-0.319810275101284,0,0.776
240,TE008,0.182938009395496,0.001,0.301
240,TE018,-0.115234379792911,0,0.629
240,TE019,-0.28059127533647,0,0.779
240,TE027,0.63956169518023,0.035,0.023
240,TE031,-0.111122171268322,0,0.646
240,TE037,0.702587978294327,0.039,0.003
240,TE038,-0.4272463163735,0,0.906
240,TE039,0.37111203551821,0,0.125
240,TE050,1.64715335168281,0.837,0.049
240,TE052,-0.422288531264998,0,0.902
240,TE053,0.194822669913141,0,0.294
240,TE054,0.341726978992883,0.046,0.267
240,TE059,0.573102993254559,0.087,0.115
240,TE066,-0.686904612501946,0,0.986
240,TE078,0.279098056977275,0.04,0.343
240,TS001,0.241757075194997,0.067,0.407
240,TS002,0.0504662493743527,0,0.442
240,TS003,-3.02765930554666,0,0.795
240,TS005,-2.92652089805013,0,0.797
240,TS006,-0.555057129774031,0,0.959
240,TS007,-3.45468991019111,0,0.808
240,TS009,1.10288918366106,0.577,0.006
240,TS010,0.784936116993811,0.235,0.034
240,TS079,-0.433482995764806,0.002,0.771
240,TS080,0.191161757603564,0,0.279
240,TS086,-3.04490478521331,0,0.802
240,TS088,-0.0977848777505805,0,0.611
