Tree,Feature,D,PVal1,PVal0
16,GB020,1.07308356496324,0.481,0.087
16,GB021,0.283585751279028,0.145,0.456
16,GB022,0.518166936332954,0.028,0.074
16,GB023,0.0729512789817775,0.022,0.467
16,GB026,-0.315127895509158,0.002,0.738
16,GB027,0.907984936149877,0.378,0.02
16,GB028,-0.142586819699675,0,0.664
16,GB030,-1.74415977695309,0.185,0.668
16,GB031,-0.0605042834258556,0.065,0.548
16,GB035,0.0694842502632837,0,0.434
16,GB037,1.66887703173642,0.752,0.101
16,GB039,0.00882423834280998,0,0.502
16,GB041,4.91460019369817,0.967,0.018
16,GB042,2.73474960272124,0.896,0.044
16,GB043,1.05671333428282,0.418,0.518
16,GB044,0.0947333177890728,0.001,0.423
16,GB046,-0.234265594548007,0.017,0.653
16,GB047,0.315317439933811,0.174,0.388
16,GB048,0.466617068469219,0.148,0.235
16,GB049,0.597530432411806,0.243,0.223
16,GB057,-0.117058770201738,0,0.638
16,GB059,-0.680865610220011,0,0.916
16,GB068,-0.186577267547303,0,0.703
16,GB069,-0.697390860656744,0,0.932
16,GB070,-1.37310986436712,0.012,0.798
16,GB071,-0.792842829746047,0.03,0.723
16,GB072,-1.43139207547449,0.008,0.794
16,GB073,-7.07586019720806,0,0.865
16,GB074,1.47511114076275,0.666,0.238
16,GB075,-6.21041794639853,0,0.865
16,GB079,-0.330198212036767,0.071,0.744
16,GB080,-8.38175874384492,0,0.875
16,GB082,1.12898846090023,0.683,0.002
16,GB083,0.301220584826092,0.071,0.402
16,GB084,0.040551088985208,0,0.447
16,GB086,0.505496987839051,0.02,0.079
16,GB089,-0.481383054923918,0,0.933
16,GB091,-0.458099925783019,0,0.935
16,GB103,-0.231615243578592,0.179,0.57
16,GB105,0.391934309510201,0.085,0.308
16,GB107,-0.318986461698768,0,0.806
16,GB108,-0.502271463962565,0,0.855
16,GB110,2.49429545366191,0.613,0.343
16,GB111,-1.12297210806735,0,0.999
16,GB113,-6.08289154313313,0,0.876
16,GB114,-0.523244553561747,0,0.915
16,GB115,0.304831606414503,0.016,0.271
16,GB117,0.946960639908044,0.422,0.07
16,GB118,0.821037213668542,0.33,0.067
16,GB119,0.316402752859546,0,0.159
16,GB120,0.738062674704298,0.124,0.011
16,GB121,0.643891287349928,0.042,0.013
