Tree,Feature,D,PVal1,PVal0
176,GB020,1.22448179232739,0.639,0.045
176,GB021,0.614659460137764,0.198,0.342
176,GB022,0.514049187299057,0.028,0.08
176,GB023,0.155351836353562,0.034,0.422
176,GB026,-0.527645572417821,0,0.852
176,GB027,0.824213000139956,0.261,0.042
176,GB028,-0.267057247993584,0,0.77
176,GB030,0.065700395323101,0.307,0.556
176,GB031,-0.520940650885771,0.015,0.703
176,GB035,0.107187556471839,0,0.404
176,GB037,1.90752757631015,0.859,0.05
176,GB039,0.0921329554413601,0,0.426
176,GB041,-0.523282275868095,0.267,0.59
176,GB042,1.19086838924285,0.406,0.438
176,GB043,1.93440321935527,0.725,0.205
176,GB044,0.220875733349454,0.005,0.272
176,GB046,0.074402557152693,0.07,0.468
176,GB047,-0.531176118575871,0.028,0.7
176,GB048,0.864666499278795,0.356,0.107
176,GB049,0.22977809941946,0.071,0.393
176,GB057,-0.119942525107853,0,0.642
176,GB059,-0.633249101038414,0,0.921
176,GB068,-0.320668735696306,0,0.818
176,GB069,-0.743669639333287,0,0.949
176,GB070,-0.966698290220782,0.016,0.793
176,GB071,-0.92285675698743,0.034,0.741
176,GB072,-1.02538695694848,0.011,0.799
176,GB073,-5.28449991922624,0,0.834
176,GB074,2.41838678711262,0.652,0.27
176,GB075,-5.64846519295391,0,0.854
176,GB079,0.383027746368169,0.266,0.594
176,GB080,-4.67204936558671,0,0.845
176,GB082,1.40509001170407,0.932,0
176,GB083,0.279243157699382,0.058,0.431
176,GB084,-0.0194412906475311,0,0.551
176,GB086,0.41592164765134,0.012,0.132
176,GB089,-0.511860890452065,0,0.927
176,GB091,-0.534805991792848,0,0.938
176,GB103,-0.0136174629061656,0.151,0.513
176,GB105,0.387811099916923,0.08,0.268
176,GB107,-0.326629507312487,0,0.827
176,GB108,-0.540192008476369,0,0.883
176,GB110,4.32926079339872,0.94,0.02
176,GB111,-1.09921144869101,0,1
176,GB113,-8.0755936527411,0,0.851
176,GB114,-0.434047095599918,0,0.843
176,GB115,0.0658433459038513,0.002,0.454
176,GB117,0.681502497156564,0.206,0.145
176,GB118,0.757337770951564,0.259,0.095
176,GB119,0.287951619011509,0.002,0.209
176,GB120,0.675400997645324,0.083,0.018
176,GB121,0.613103808035973,0.015,0.027
176,GB122,-0.49027459295096,0,0.807
176,GB123,-1.29555063656703,0,0.972
176,GB126,0.615023691863036,0.089,0.072
176,GB127,-3.70379609589087,0,0.96
176,GB132,0.98868049654315,0.407,0.06
176,GB133,-6.45488301462446,0,0.868
176,GB134,-0.527847328378391,0.038,0.73
176,GB135,0.49671719434936,0.125,0.212
176,GB136,-0.133892946195383,0,0.642
176,GB137,0.068953149861292,0,0.434
176,GB138,2.45508847583614,0.903,0.036
176,GB139,-0.014888188835571,0,0.512
176,GB140,0.58152812184799,0.106,0.113
176,GB146,-0.633255202316135,0.003,0.835
176,GB147,-0.665179209543376,0,0.908
