Min & Median & Max & SD
D & -4.96 & 0.06 & 2.31 & 1.43
Rate of loss & 0 & 0.33 & 99.98 & 17.35
Rate of gain & 0 & 0.14 & 95.59 & 15.15
Rate of loss (log10 transformed) & -10 & -0.48 & 2 & 4.08
Rate of gain (log10 transformed) & -10 & -0.85 & 1.98 & 4.74
