Tree,Model,Feature,LogLikelihood,AICc,q01,q10
68,ER,GB020,-17.8752901423627,37.8183768948949,0.0455581352022342,0.0455581352022342
68,ARD,GB020,-11.9708964055384,28.148689362801,5.08372083722849,100
68,ER,GB021,-11.0590261588892,24.1858489279478,0.0247656579725608,0.0247656579725608
68,ARD,GB021,-8.68467651357518,21.5762495788745,1.0887674651824,33.9567631007789
68,ER,GB022,-55.989389718,114.046576046169,0.149882935565132,0.149882935565132
68,ARD,GB022,-38.6399332872757,90.835422130107,0.946763757953845,0.00485737223711581
68,ER,GB023,-14.8685484569988,31.8048935241671,0.0453225060943419,0.0453225060943419
68,ARD,GB023,-12.0326568247295,28.2722102011831,0.395363263500539,7.1915140194232
68,ER,GB026,-61.9939394092517,126.055675428673,0.957678005359729,0.957678005359729
68,ARD,GB026,-55.3724504962745,124.300456548105,0.862270947798624,1.35667380127541
68,ER,GB027,-62.2469550340173,126.561706678204,1.35834998122415,1.35834998122415
68,ARD,GB027,-60.6627637653441,134.881083086244,0.0772431641351135,7.58256042791191e-10
68,ER,GB028,-50.433377073421,102.934550757012,0.10804284976645,0.10804284976645
68,ARD,GB028,-39.4271628270484,92.4098812096523,5.08212162785251,0.433985164541077
68,ER,GB030,-19.9935021669755,42.0548009441205,0.0309247104963953,0.0309247104963953
68,ARD,GB030,-16.2230738226148,46.0017032007851,5.67851224161001,0.326861794985296
68,ER,GB031,-30.9113751871069,63.8905469843832,0.0490233096297516,0.0490233096297516
68,ARD,GB031,-23.7784105983307,61.112376752217,4.25006092041492,0.309637279821491
68,ER,GB035,-60.6574531944209,123.382702999011,0.275554438666968,0.275554438666968
68,ARD,GB035,-52.3561018582737,118.267759272103,0.478249990231026,7.58256042791191e-10
68,ER,GB037,-35.0047378458862,72.0772723019418,0.0582107521560419,0.0582107521560419
68,ARD,GB037,-26.3034149317477,66.1623854190509,1.58048005895825,7.58256042791191e-10
68,ER,GB039,-47.7649205981056,97.5976378063806,0.146640016642022,0.146640016642022
68,ARD,GB039,-41.3109204287152,96.177396412986,0.697034787318927,0.187296601966125
68,ER,GB041,-39.4819030483783,81.031602706926,0.0698909892271259,0.0698909892271259
68,ARD,GB041,-26.2096145335967,65.974784622749,15.0247720240655,2.11189510896397
68,ER,GB042,-8.47561354325141,19.0190236966723,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB042,-8.47561354325141,21.158123638227,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB043,-6.87325505052365,15.8143067112168,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB043,-6.87325505052365,17.9534066527714,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB044,-46.5920729835188,95.2519425772071,0.158682886830624,0.158682886830624
68,ARD,GB044,-35.9826915940078,85.5209387435713,2.68957866391247,0.209141378092293
68,ER,GB046,-66.7133314189832,135.494459448136,33.7671589859705,33.7671589859705
68,ARD,GB046,-55.8271699376268,125.209895430809,8.22684461415167e-10,8.08919821649336e-10
68,ER,GB047,-58.7246593005979,119.517115211365,0.206163985328199,0.206163985328199
68,ARD,GB047,-47.0168260579828,107.589207671521,1.08465785949761,6.44098703348908
68,ER,GB048,-64.9926490011883,132.053094612546,1.1446997591778,1.1446997591778
68,ARD,GB048,-56.6595804443561,126.874716444268,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB049,-58.3058005652375,118.679397740644,0.212480611507974,0.212480611507974
68,ARD,GB049,-50.0860915003316,113.727738556219,1.73059384621546,6.5286508876413
68,ER,GB057,-56.979799694869,116.027395999907,0.187389704597856,0.187389704597856
68,ARD,GB057,-49.4929003909169,112.541356337389,1.2758271611722,7.58256042791191e-10
68,ER,GB059,-41.8420116482987,85.7518199067669,0.0806148412346266,0.0806148412346266
68,ARD,GB059,-30.832289239419,75.2201340343935,100,8.50886867382617
68,ER,GB068,-50.2291472048498,102.526091019869,0.168039904827435,0.168039904827435
68,ARD,GB068,-46.0547961153541,105.665147786264,1.26584357969026,0.135877036220687
68,ER,GB069,-44.8058549892801,91.6795065887298,0.127679083037812,0.127679083037812
68,ARD,GB069,-39.2443325419421,92.0442206394397,1.03975523160416,7.58256042791191e-10
68,ER,GB070,-6.7577210971554,15.5832388044803,0.0282762833724704,0.0282762833724704
68,ARD,GB070,-6.421870227397,17.0506370065181,7.58256042791191e-10,0.0258271147413471
68,ER,GB071,-12.1570560196747,26.3819086495188,0.0232049873153956,0.0232049873153956
68,ARD,GB071,-10.6297877139726,34.8151309835007,1.58112105679957,7.58256042791191e-10
68,ER,GB072,-6.75772109627561,15.5832388027207,0.0282768169301712,0.0282768169301712
68,ARD,GB072,-6.4218702320879,17.0506370158999,7.58256042791191e-10,0.0258252072291727
68,ER,GB073,-14.5341415844694,31.1360797791082,0.0228252766565568,0.0228252766565568
68,ARD,GB073,-10.549251290644,34.6540581368435,7.58256042791191e-10,0.0913594024617006
68,ER,GB074,-19.9470963402372,41.9619892906439,0.0311663305718472,0.0311663305718472
68,ARD,GB074,-16.6040821595829,46.7637198747214,4.09767376145884,0.147697895937938
68,ER,GB075,-23.6697601145299,49.4073168392292,0.0413320323787946,0.0413320323787946
68,ARD,GB075,-16.5162403098992,46.588036175354,7.58256042791191e-10,0.000303984318370963
68,ER,GB079,-3.54634953557525,9.16049568131998,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB079,-3.54634953557525,11.2995956228746,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB080,-3.21340545617423,8.49460752251796,0.011106361182564,0.011106361182564
68,ARD,GB080,-2.31077026241279,8.82843707654971,7.58256042791191e-10,9.04811486369602e-05
68,ER,GB082,-48.4625473301089,98.9928912703872,0.0938408695689383,0.0938408695689383
68,ARD,GB082,-30.7555804676291,75.0667164908138,100,8.78108230627226e-10
68,ER,GB083,-12.9984111322283,28.064618874626,0.0471856805691101,0.0471856805691101
68,ARD,GB083,-12.7743295484158,29.7555556485558,7.58256042791191e-10,0.0448244081936197
68,ER,GB084,-53.7953893704103,109.65857535099,0.189162838104699,0.189162838104699
68,ARD,GB084,-42.8406136871071,99.2367829297697,100,10.8881614510824
68,ER,GB086,-55.3431469206748,112.754090451519,0.170703087293768,0.170703087293768
68,ARD,GB086,-42.5199096295731,98.5953748147017,40.9900959944808,7.58256042791191e-10
68,ER,GB089,-31.1241566118382,64.316109833846,0.20523913983734,0.20523913983734
68,ARD,GB089,-30.1340730294013,64.4750426105268,0.242433683096251,7.58256042791191e-10
68,ER,GB091,-31.1241548925839,64.3161063953373,0.205384099870887,0.205384099870887
68,ARD,GB091,-30.1340730292901,64.4750426103043,0.242436208242495,7.58256042791191e-10
68,ER,GB103,-15.4060439951511,32.8798846004717,0.0221906400769005,0.0221906400769005
68,ARD,GB103,-12.4764357013843,38.5084269583242,40.0287978170806,0.688813056698021
68,ER,GB105,-44.6658367571093,91.399470124388,0.11036981818609,0.11036981818609
68,ARD,GB105,-35.9354964620244,85.4265484796043,2.65159531872968,0.430239159854814
68,ER,GB107,-37.1379067147436,76.3436100396567,0.104122816873237,0.104122816873237
68,ARD,GB107,-33.0953065116125,79.7461685787806,7.58256042791191e-10,0.54417415289234
68,ER,GB108,-43.3359215991266,88.7396398084226,0.0822132105546066,0.0822132105546066
68,ARD,GB108,-33.5594205002423,80.6743965560401,100,8.45263221650827
68,ER,GB110,-52.0367824994614,106.141361609092,0.112806704279615,0.112806704279615
68,ARD,GB110,-40.4283517542881,94.4122590641317,1.02409401495901,0.275387564222877
68,ER,GB111,-56.9670173493473,116.001831308864,0.154283401706717,0.154283401706717
68,ARD,GB111,-40.9672611435596,95.4900778426747,100,29.5698717029431
68,ER,GB113,-41.060170820484,84.1881382511376,0.0935144919110007,0.0935144919110007
68,ARD,GB113,-28.6699917704789,70.8955390965133,7.58256042791191e-10,0.120074245811394
68,ER,GB114,-66.8939642885348,135.855725187239,12.202250940528,12.202250940528
68,ARD,GB114,-55.8110197659084,125.177595087372,6.00323391784346,3.87630460028475
68,ER,GB115,-52.154917548371,106.377631706912,0.190459937286034,0.190459937286034
68,ARD,GB115,-45.0428783749306,103.641312305417,12.5738382240197,16.0883938446908
68,ER,GB117,-62.0356287662724,126.139054142714,0.172848171901891,0.172848171901891
68,ARD,GB117,-43.7021159095151,100.959787374586,51.3949341236173,7.77266040814042e-10
68,ER,GB118,-67.0478213145287,136.163439239227,100,100
68,ARD,GB118,-60.0449662447546,133.645488045065,100,100
68,ER,GB119,-53.9522336142396,109.972263838649,0.202118184702789,0.202118184702789
68,ARD,GB119,-47.6203274933674,108.79621054229,2.55381091924616,0.57278950553521
68,ER,GB120,-58.25853608363,118.58486877743,0.220837053091132,0.220837053091132
68,ARD,GB120,-47.0055559769869,107.566667509529,20.8641311228738,7.9297789054158e-10
68,ER,GB121,-66.2058138351383,134.479424280446,9.80430936455741,9.80430936455741
68,ARD,GB121,-49.132826025928,111.821207607412,7.58256042791191e-10,7.59223290255374e-10
68,ER,GB122,-66.8322696499921,135.732335910154,6.67502954625808,6.67502954625808
68,ARD,GB122,-56.355551504516,126.266658564588,100,60.7459741485593
68,ER,GB123,-60.5499872270274,123.167771064224,0.303050941687478,0.303050941687478
68,ARD,GB123,-53.604616492353,120.764788540261,1.76025962031089,8.51040023687766
68,ER,GB126,-66.7133039506117,135.494404511393,33.7336800713195,33.7336800713195
68,ARD,GB126,-62.4370024049668,138.429560365489,8.11177321425108e-10,81.7276130906514
68,ER,GB127,-63.4827614445502,129.03331949927,0.253346066042162,0.253346066042162
68,ARD,GB127,-47.9750624004758,109.505680356507,24.0036938664754,27.7503807250597
68,ER,GB132,-19.4403050191038,40.948406648377,0.0665168686225993,0.0665168686225993
68,ARD,GB132,-14.5819414454846,33.3707794426933,0.906619115690945,12.3576388911352
68,ER,GB133,-3.21340544792838,8.49460750602625,0.0111072847965118,0.0111072847965118
68,ARD,GB133,-2.31077026215624,8.82843707603663,7.58256042791191e-10,9.04858415124252e-05
68,ER,GB134,-55.3803760578637,112.828548725897,0.197030435449461,0.197030435449461
68,ARD,GB134,-41.6168251313507,96.7892058182569,1.0143810204072,3.98009993962981
68,ER,GB135,-67.047158955152,136.162114520473,100,100
68,ARD,GB135,-56.7580933069705,127.071742169497,1.81778606402941e-09,7.89567780966732e-10
68,ER,GB136,-67.0434476197546,136.154691849679,100,100
68,ARD,GB136,-66.7231104145272,147.00177638461,100,77.329829085303
68,ER,GB137,-48.8669826416604,99.8017618934904,0.123804914078413,0.123804914078413
68,ARD,GB137,-41.4221578627434,96.3998712810424,7.58970158271916e-10,7.58256042791191e-10
68,ER,GB138,-30.1599831759664,62.3877629621023,0.0501422494345024,0.0501422494345024
68,ARD,GB138,-23.0743812107253,59.7043179770062,8.23296717850327,7.58256042791191e-10
68,ER,GB139,-58.3745745413322,118.816945692834,0.275392015957372,0.275392015957372
68,ARD,GB139,-49.2111784585256,111.977912472607,8.72587636430983,4.58436260798815
68,ER,GB140,-61.1309101049101,124.32961681999,0.244291248721855,0.244291248721855
68,ARD,GB140,-46.5577906209194,106.671136797394,100,25.9825472802769
68,ER,GB146,-63.3627306306323,128.793257871434,1.11988737402513,1.11988737402513
68,ARD,GB146,-53.2649562662266,120.085468088009,2.20304886037394,4.95167893125694
68,ER,GB147,-26.4022511304868,54.872298871143,0.0514326991393739,0.0514326991393739
68,ARD,GB147,-25.280787366789,64.1171302891336,0.637468901067934,7.58256042791191e-10
68,ER,GB150,-49.6969179791726,101.461632568515,0.105333941439355,0.105333941439355
68,ARD,GB150,-42.0806667880443,97.7168891316442,0.000323055838971649,7.58256042791191e-10
68,ER,GB151,-11.5201296447875,25.1080558997445,0.0121277326149152,0.0121277326149152
68,ARD,GB151,-5.7830946294024,25.1217448143604,7.58256042791191e-10,7.63850243372623e-10
68,ER,GB152,-65.4296189132667,132.927034436703,0.187161095045413,0.187161095045413
68,ARD,GB152,-46.1426646344401,105.840884824436,8.55783966541616e-10,79.9851780276619
68,ER,GB155,-22.7192188641764,47.5062343385222,0.0406079094507669,0.0406079094507669
68,ARD,GB155,-16.4656460237208,46.4868476029972,7.58256042791191e-10,0.00670226276001008
68,ER,GB156,-14.5636646875547,31.1951259852788,0.0220905113738504,0.0220905113738504
68,ARD,GB156,-12.8402388067655,39.2360331690866,3.47463382333474,0.136545817798262
68,ER,GB158,-67.047158955152,136.162114520473,100,100
68,ARD,GB158,-51.852921887276,117.261399330108,100,49.8097785711373
68,ER,GB159,-67.047158955152,136.162114520473,100,100
68,ARD,GB159,-55.4342456948355,124.424046945227,49.3066440862175,27.4488174725091
68,ER,GB160,-67.0478213145287,136.163439239227,100,100
68,ARD,GB160,-61.9299292471903,137.415414049936,1.16639935122522e-09,92.5015951594881
68,ER,GB166,-6.87325505052365,15.8143067112168,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB166,-6.87325505052365,17.9534066527714,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB167,-28.6996538322287,59.467104274627,0.0406017847599847,0.0406017847599847
68,ARD,GB167,-20.2236907520354,54.0029370596263,0.571206165956992,7.58256042791191e-10
68,ER,GB184,-55.3903448725631,112.848486355296,0.12796479486124,0.12796479486124
68,ARD,GB184,-38.480577411723,90.5167103790015,100,15.7003606638521
68,ER,GB185,-67.0434476197546,136.154691849679,100,100
68,ARD,GB185,-63.4027649205076,140.361085396571,100,99.7354273393837
68,ER,GB187,-58.9755462088495,120.018889027869,0.223754207446227,0.223754207446227
68,ARD,GB187,-46.3161816699787,106.187918895513,0.223937530150991,7.58256042791191e-10
68,ER,GB188,-67.0478213145288,136.163439239227,100,100
68,ARD,GB188,-50.9302388364185,115.416033228393,100,45.3018854303688
68,ER,GB196,-19.9935020172145,42.0548006445984,0.0309168745572366,0.0309168745572366
68,ARD,GB196,-16.2230735960833,46.0017027477222,5.68484359265614,0.327230864981601
68,ER,GB197,-19.9935020200664,42.0548006503022,0.0309139154998447,0.0309139154998447
68,ARD,GB197,-16.2230736407838,46.0017028371232,5.68327929052457,0.327112199196262
68,ER,GB204,-60.1830238529493,122.433844316068,0.500447934287736,0.500447934287736
68,ARD,GB204,-52.1416360406146,117.838827636785,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB250,-67.047158955152,136.162114520473,100,100
68,ARD,GB250,-51.2010753955761,115.957706346708,100,47.3780160819069
68,ER,GB252,-67.047158955152,136.162114520473,100,100
68,ARD,GB252,-61.0461145336499,135.647784622855,9.06630791660699e-10,67.8205698695426
68,ER,GB253,-67.047158955152,136.162114520473,100,100
68,ARD,GB253,-66.8013266743533,147.158208904262,52.9198903717087,56.9461551252102
68,ER,GB254,-67.047158955152,136.162114520473,100,100
68,ARD,GB254,-66.7288177527115,147.013191060979,100,100
68,ER,GB256,-67.0478213145287,136.163439239227,100,100
68,ARD,GB256,-62.5158684563665,138.587292468289,38.0007696229553,74.3202967785285
68,ER,GB257,-61.0596419931369,124.187080596443,0.305410122995892,0.305410122995892
68,ARD,GB257,-48.8183848228688,111.192325201293,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB263,-46.5903565860142,95.248509782198,0.106318460595094,0.106318460595094
68,ARD,GB263,-36.6230446299999,86.8016448155553,7.58256042791191e-10,7.80267399068947e-10
68,ER,GB264,-33.6882020417433,69.444200693656,0.0686143429545009,0.0686143429545009
68,ARD,GB264,-29.672897687196,72.9013509299476,2.18262743872418,0.284985148834503
68,ER,GB265,-40.6982226755124,83.4642419611942,0.0823719770523108,0.0823719770523108
68,ARD,GB265,-32.201652204207,77.9588599639695,0.921506427672313,0.163190411307631
68,ER,GB266,-50.2043237779899,102.476444166149,0.180323453936774,0.180323453936774
68,ARD,GB266,-45.8650329733961,105.285621502348,0.69027707769319,7.58256042791191e-10
68,ER,GB273,-48.8869727257801,99.8417420617296,0.203540477946496,0.203540477946496
68,ARD,GB273,-46.2706218759808,106.096799307517,7.58400841035676e-10,0.223263513540645
68,ER,GB275,-62.5999128396557,127.267622289481,0.390915536488643,0.390915536488643
68,ARD,GB275,-57.3256078333118,128.206771222179,6.7618573828246,2.24188499483243
68,ER,GB276,-60.5067522979356,123.081301206041,0.184791784960272,0.184791784960272
68,ARD,GB276,-45.22919815597,104.013951867496,100,33.0397412454492
68,ER,GB285,-26.962050899686,55.9918984095414,0.0488583347947566,0.0488583347947566
68,ARD,GB285,-23.0714565348618,59.6984686252792,2.01096742506902,0.280929311439238
68,ER,GB286,-48.566253940622,99.2003044914135,0.0790590030388409,0.0790590030388409
68,ARD,GB286,-33.1310699064041,79.8176953683638,7.58256042791191e-10,7.5838432105741e-10
68,ER,GB296,-67.047158955152,136.162114520473,100,100
68,ARD,GB296,-64.4130980392555,142.381751634067,62.7339237439095,7.77763577692814e-10
68,ER,GB297,-18.2559810070717,38.5797586243129,0.0310185277083873,0.0310185277083873
68,ARD,GB297,-17.2394612607229,48.0344780770013,0.493376505062982,0.101094398997503
68,ER,GB298,-37.4842408777957,77.0362783657609,0.0596329170247455,0.0596329170247455
68,ARD,GB298,-34.3590929536232,82.2737414628019,23.6286472639233,1.07668652560036
68,ER,GB299,-47.9357143466942,97.9392253035579,0.150096071132635,0.150096071132635
68,ARD,GB299,-41.3785637661601,96.3126830878757,9.11128650577838,1.18674751274339
68,ER,GB301,-54.2734798268288,110.614756263827,0.183428843008615,0.183428843008615
68,ARD,GB301,-44.6848100723661,102.925175700288,0.900896246884124,3.80284976646813
68,ER,GB302,-13.5317145980086,29.1312258061867,0.0121287919451933,0.0121287919451933
68,ARD,GB302,-10.0112572119856,33.5780699795268,3.78101055654873,7.63028705651608e-10
68,ER,GB304,-66.8325695154329,135.732935641035,6.88696119449415,6.88696119449415
68,ARD,GB304,-53.0075171447268,119.570589845009,7.7455435800912e-10,7.58256042791191e-10
68,ER,GB305,-40.8392937060354,83.7463840222403,0.0819342534261351,0.0819342534261351
68,ARD,GB305,-34.2458818204953,82.0473191965462,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB306,-65.998898630974,134.065593872118,12.6130882176185,12.6130882176185
68,ARD,GB306,-52.6491974550429,118.853950465641,26.7567834451564,22.4428213806157
68,ER,GB309,-54.0397186608644,110.147233931898,0.177697580202106,0.177697580202106
68,ARD,GB309,-46.3420307683544,106.239617092264,20.1701114364266,2.47549569013311
68,ER,GB312,-12.3156062550095,26.6990091201885,0.0285133385585487,0.0285133385585487
68,ARD,GB312,-12.0121431552341,28.2311828621924,7.58256042791191e-10,0.0254157995928002
68,ER,GB313,-57.706979290972,117.481755192114,0.126215426451708,0.126215426451708
68,ARD,GB313,-40.2059734627439,93.9675024810433,84.973581457527,7.84707279718619e-10
68,ER,GB316,-8.47561354325141,19.0190236966723,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB316,-8.47561354325141,21.158123638227,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB318,-8.47561354325141,19.0190236966723,7.58256042791191e-10,7.58256042791191e-10
68,ARD,GB318,-8.47561354325141,21.158123638227,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB322,-53.58937541467,109.246547439509,0.161071533331133,0.161071533331133
68,ARD,GB322,-44.6659318338534,102.887419223262,2.06858415874142,0.301513389105351
68,ER,GB323,-67.0478213145287,136.163439239227,100,100
68,ARD,GB323,-52.0008862156074,117.55732798677,100,8.50888301150308e-10
68,ER,GB324,-67.0434476197546,136.154691849679,100,100
68,ARD,GB324,-66.2301876532139,146.015930861983,99.5529086044306,53.8935940005774
68,ER,GB325,-66.2056401335505,134.47907687727,9.77951011065926,9.77951011065926
68,ARD,GB325,-62.076230743424,137.708017042404,17.9882805925823,11.1695216794539
68,ER,GB326,-67.0478213145288,136.163439239227,100,100
68,ARD,GB326,-54.5114693073176,122.578494170191,7.84427008716775e-10,39.03741968208
68,ER,GB327,-54.5795014322352,111.22679947464,0.190956284689309,0.190956284689309
68,ARD,GB327,-42.6399851385625,98.8355258326806,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB328,-32.9239201948856,67.9156369999406,0.0698177084353559,0.0698177084353559
68,ARD,GB328,-28.6332730200487,70.8221015956529,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB329,-61.6473899296133,125.362576469396,0.419987847354426,0.419987847354426
68,ARD,GB329,-52.4828124307995,118.521180417154,2.07202160344569,1.15274333481682
68,ER,GB330,-53.6988460321699,109.465488674509,0.164009780085546,0.164009780085546
68,ARD,GB330,-37.6308391193251,88.8172337942057,6.52727262428003,7.62328497883589e-10
68,ER,GB333,-32.3489092312166,66.7656150726026,0.0698386011791998,0.0698386011791998
68,ARD,GB333,-24.0858353706063,61.7272262967682,7.58256042791191e-10,7.58256042791191e-10
68,ER,GB400,-56.1165864821085,114.300969574386,0.106111690184027,0.106111690184027
68,ARD,GB400,-35.8980106296143,85.3515768147841,82.7638188663784,9.20512791739923
