Tree,Model,Feature,LogLikelihood,AICc,Clade,p0,p1
459,ER,GB020,-13.8543589116042,29.7765144333779,Turkic,0.999992372014214,7.62798578625766e-06
459,ER,GB020,-13.8543589116042,29.7765144333779,Tungusic,0.999997185514561,2.81448543884421e-06
459,ER,GB020,-13.8543589116042,29.7765144333779,Mongolic,0.999622669410296,0.000377330589703641
459,ER,GB020,-13.8543589116042,29.7765144333779,Japonic,0.999995581873449,4.4181265515085e-06
459,ER,GB020,-13.8543589116042,29.7765144333779,Koreanic,0.999973167162644,2.68328373564947e-05
459,ARD,GB020,-11.5550010168551,27.3168985854344,Turkic,0.94814715453114,0.0518528454688597
459,ARD,GB020,-11.5550010168551,27.3168985854344,Tungusic,0.942492146672861,0.057507853327139
459,ARD,GB020,-11.5550010168551,27.3168985854344,Mongolic,0.942306028360393,0.0576939716396073
459,ARD,GB020,-11.5550010168551,27.3168985854344,Japonic,0.955039115580461,0.0449608844195391
459,ARD,GB020,-11.5550010168551,27.3168985854344,Koreanic,0.975202000289758,0.0247979997102417
459,ER,GB021,-10.3532518146496,22.7743002394687,Turkic,0.999998803381112,1.19661888824707e-06
459,ER,GB021,-10.3532518146496,22.7743002394687,Tungusic,0.999919158185491,8.08418145091605e-05
459,ER,GB021,-10.3532518146496,22.7743002394687,Mongolic,0.999950445023204,4.95549767965094e-05
459,ER,GB021,-10.3532518146496,22.7743002394687,Japonic,0.999999336685278,6.63314722122496e-07
459,ER,GB021,-10.3532518146496,22.7743002394687,Koreanic,0.99999564508069,4.35491931013712e-06
459,ARD,GB021,-8.66386101060224,21.5346185729286,Turkic,0.968501706090871,0.0314982939091285
459,ARD,GB021,-8.66386101060224,21.5346185729286,Tungusic,0.968501706090871,0.0314982939091292
459,ARD,GB021,-8.66386101060224,21.5346185729286,Mongolic,0.968501706090871,0.0314982939091292
459,ARD,GB021,-8.66386101060224,21.5346185729286,Japonic,0.968501706102039,0.0314982938979612
459,ARD,GB021,-8.66386101060224,21.5346185729286,Koreanic,0.968543562969838,0.0314564370301617
459,ER,GB022,-35.0824932798746,72.2327831699187,Turkic,0.805006961027189,0.194993038972811
459,ER,GB022,-35.0824932798746,72.2327831699187,Tungusic,0.875443003568556,0.124556996431444
459,ER,GB022,-35.0824932798746,72.2327831699187,Mongolic,0.661520907762326,0.338479092237674
459,ER,GB022,-35.0824932798746,72.2327831699187,Japonic,0.98002370123078,0.0199762987692199
459,ER,GB022,-35.0824932798746,72.2327831699187,Koreanic,0.980185716027343,0.0198142839726569
459,ARD,GB022,-31.0020740921034,66.2110447359309,Turkic,0.59578399294449,0.40421600705551
459,ARD,GB022,-31.0020740921034,66.2110447359309,Tungusic,0.743055262735303,0.256944737264697
459,ARD,GB022,-31.0020740921034,66.2110447359309,Mongolic,0.749010233691215,0.250989766308785
459,ARD,GB022,-31.0020740921034,66.2110447359309,Japonic,0.887805910137411,0.112194089862589
459,ARD,GB022,-31.0020740921034,66.2110447359309,Koreanic,0.950790498779238,0.0492095012207619
459,ER,GB023,-14.8536245211608,31.775045652491,Turkic,0.999990095397734,9.90460226613874e-06
459,ER,GB023,-14.8536245211608,31.775045652491,Tungusic,0.9999960268487,3.97315130039269e-06
459,ER,GB023,-14.8536245211608,31.775045652491,Mongolic,0.999351050439106,0.000648949560894295
459,ER,GB023,-14.8536245211608,31.775045652491,Japonic,0.999994216485899,5.78351410099586e-06
459,ER,GB023,-14.8536245211608,31.775045652491,Koreanic,0.99996538756159,3.461243840969e-05
459,ARD,GB023,-13.1281170457057,30.4631306431355,Turkic,0.99282519433723,0.00717480566276953
459,ARD,GB023,-13.1281170457057,30.4631306431355,Tungusic,0.974979486689473,0.0250205133105269
459,ARD,GB023,-13.1281170457057,30.4631306431355,Mongolic,0.844593857552423,0.155406142447577
459,ARD,GB023,-13.1281170457057,30.4631306431355,Japonic,0.995185677399842,0.00481432260015826
459,ARD,GB023,-13.1281170457057,30.4631306431355,Koreanic,0.994421535195228,0.00557846480477145
459,ER,GB026,-15.3723107838841,32.8124181779376,Turkic,0.928677436020738,0.0713225639792619
459,ER,GB026,-15.3723107838841,32.8124181779376,Tungusic,0.325506903827061,0.674493096172939
459,ER,GB026,-15.3723107838841,32.8124181779376,Mongolic,0.803572750154724,0.196427249845276
459,ER,GB026,-15.3723107838841,32.8124181779376,Japonic,0.997207120711984,0.00279287928801551
459,ER,GB026,-15.3723107838841,32.8124181779376,Koreanic,0.586668595198767,0.413331404801233
459,ARD,GB026,-14.6774046808528,33.5617059134298,Turkic,0.59989933336279,0.400100666637211
459,ARD,GB026,-14.6774046808528,33.5617059134298,Tungusic,0.172571953394737,0.827428046605262
459,ARD,GB026,-14.6774046808528,33.5617059134298,Mongolic,0.721182555577327,0.278817444422673
459,ARD,GB026,-14.6774046808528,33.5617059134298,Japonic,0.966176590009895,0.0338234099901049
459,ARD,GB026,-14.6774046808528,33.5617059134298,Koreanic,0.624694558566354,0.375305441433646
459,ER,GB027,-23.716517343463,49.5008312970954,Turkic,0.500008213941326,0.499991786058674
459,ER,GB027,-23.716517343463,49.5008312970954,Tungusic,0.499997658332779,0.500002341667221
459,ER,GB027,-23.716517343463,49.5008312970954,Mongolic,0.499999998719118,0.500000001280882
459,ER,GB027,-23.716517343463,49.5008312970954,Japonic,0.500812826238074,0.499187173761926
459,ER,GB027,-23.716517343463,49.5008312970954,Koreanic,0.601421136250692,0.398578863749308
459,ARD,GB027,-23.6614690554839,51.529834662692,Turkic,0.529049627137442,0.470950372862558
459,ARD,GB027,-23.6614690554839,51.529834662692,Tungusic,0.529048024298047,0.470951975701953
459,ARD,GB027,-23.6614690554839,51.529834662692,Mongolic,0.529051571543418,0.470948428456582
459,ARD,GB027,-23.6614690554839,51.529834662692,Japonic,0.529842832395894,0.470157167604106
459,ARD,GB027,-23.6614690554839,51.529834662692,Koreanic,0.625087445722718,0.374912554277282
459,ER,GB028,-32.452148750081,66.9720941103315,Turkic,0.991766583898799,0.00823341610120112
459,ER,GB028,-32.452148750081,66.9720941103315,Tungusic,0.628440180541466,0.371559819458534
459,ER,GB028,-32.452148750081,66.9720941103315,Mongolic,0.413039549328687,0.586960450671313
459,ER,GB028,-32.452148750081,66.9720941103315,Japonic,0.998163757275632,0.0018362427243683
459,ER,GB028,-32.452148750081,66.9720941103315,Koreanic,0.993832740446731,0.00616725955326879
459,ARD,GB028,-31.8754755054909,67.957847562706,Turkic,0.977802243145737,0.0221977568542633
459,ARD,GB028,-31.8754755054909,67.957847562706,Tungusic,0.471907086127551,0.528092913872449
459,ARD,GB028,-31.8754755054909,67.957847562706,Mongolic,0.397416896210161,0.602583103789838
459,ARD,GB028,-31.8754755054909,67.957847562706,Japonic,0.994904389162059,0.00509561083794069
459,ARD,GB028,-31.8754755054909,67.957847562706,Koreanic,0.989757137521914,0.0102428624780859
459,ER,GB030,-4.23426286115271,10.5363223324749,Turkic,1,4.64681307791266e-29
459,ER,GB030,-4.23426286115271,10.5363223324749,Tungusic,1,1.96149438138803e-32
459,ER,GB030,-4.23426286115271,10.5363223324749,Mongolic,1,1.53212015653297e-27
459,ER,GB030,-4.23426286115271,10.5363223324749,Japonic,1,1.15220616750398e-19
459,ER,GB030,-4.23426286115271,10.5363223324749,Koreanic,1,1.76288629196729e-28
459,ARD,GB030,-4.23426286115271,12.6754222740296,Turkic,1,4.64681307791266e-29
459,ARD,GB030,-4.23426286115271,12.6754222740296,Tungusic,1,1.96149438138803e-32
459,ARD,GB030,-4.23426286115271,12.6754222740296,Mongolic,1,1.53212015653297e-27
459,ARD,GB030,-4.23426286115271,12.6754222740296,Japonic,1,1.15220616750398e-19
459,ARD,GB030,-4.23426286115271,12.6754222740296,Koreanic,1,1.76288629196729e-28
459,ER,GB031,-9.92428129428281,21.9163591987351,Turkic,0.999998743368746,1.2566312537307e-06
459,ER,GB031,-9.92428129428281,21.9163591987351,Tungusic,0.999999788044508,2.11955491648555e-07
459,ER,GB031,-9.92428129428281,21.9163591987351,Mongolic,0.999947794687646,5.22053123535441e-05
459,ER,GB031,-9.92428129428281,21.9163591987351,Japonic,0.999999292978719,7.07021281103382e-07
459,ER,GB031,-9.92428129428281,21.9163591987351,Koreanic,0.999995430273906,4.56972609377606e-06
459,ARD,GB031,-9.24481078242843,22.696518116581,Turkic,0.952383273159511,0.047616726840489
459,ARD,GB031,-9.24481078242843,22.696518116581,Tungusic,0.968817346500711,0.031182653499289
459,ARD,GB031,-9.24481078242843,22.696518116581,Mongolic,0.956027322116777,0.0439726778832234
459,ARD,GB031,-9.24481078242843,22.696518116581,Japonic,0.957251524782118,0.0427484752178822
459,ARD,GB031,-9.24481078242843,22.696518116581,Koreanic,0.992227486422116,0.00777251357788382
459,ER,GB035,-35.423658074832,72.9151127598336,Turkic,0.3995820791136,0.6004179208864
459,ER,GB035,-35.423658074832,72.9151127598336,Tungusic,0.793256895730259,0.206743104269741
459,ER,GB035,-35.423658074832,72.9151127598336,Mongolic,0.634338490481147,0.365661509518853
459,ER,GB035,-35.423658074832,72.9151127598336,Japonic,0.142778845451423,0.857221154548577
459,ER,GB035,-35.423658074832,72.9151127598336,Koreanic,0.0278179585221933,0.972182041477807
459,ARD,GB035,-32.5519987212111,69.3108939941464,Turkic,0.0105963649123438,0.989403635087656
459,ARD,GB035,-32.5519987212111,69.3108939941464,Tungusic,0.684072806057115,0.315927193942885
459,ARD,GB035,-32.5519987212111,69.3108939941464,Mongolic,0.758562774111912,0.241437225888088
459,ARD,GB035,-32.5519987212111,69.3108939941464,Japonic,0.00264245109989783,0.997357548900102
459,ARD,GB035,-32.5519987212111,69.3108939941464,Koreanic,0.00694205025729162,0.993057949742708
459,ER,GB037,-13.0295237464026,28.1268441029747,Turkic,0.999998683942114,1.31605788613789e-06
459,ER,GB037,-13.0295237464026,28.1268441029747,Tungusic,0.999999774609357,2.25390643549983e-07
459,ER,GB037,-13.0295237464026,28.1268441029747,Mongolic,0.999945129185243,5.48708147570377e-05
459,ER,GB037,-13.0295237464026,28.1268441029747,Japonic,0.999999269028495,7.30971504928367e-07
459,ER,GB037,-13.0295237464026,28.1268441029747,Koreanic,0.999995216295271,4.78370472877616e-06
459,ARD,GB037,-8.5280041118643,21.2629047754527,Turkic,0.965980984082459,0.0340190159175405
459,ARD,GB037,-8.5280041118643,21.2629047754527,Tungusic,0.965980984082459,0.0340190159175405
459,ARD,GB037,-8.5280041118643,21.2629047754527,Mongolic,0.965980984082459,0.0340190159175405
459,ARD,GB037,-8.5280041118643,21.2629047754527,Japonic,0.965980984082648,0.0340190159173521
459,ARD,GB037,-8.5280041118643,21.2629047754527,Koreanic,0.965995090928113,0.0340049090718869
459,ER,GB039,-33.4884990810076,69.0447947721847,Turkic,0.994440327445688,0.00555967255431208
459,ER,GB039,-33.4884990810076,69.0447947721847,Tungusic,0.978182856816394,0.0218171431836058
459,ER,GB039,-33.4884990810076,69.0447947721847,Mongolic,0.533298252140818,0.466701747859182
459,ER,GB039,-33.4884990810076,69.0447947721847,Japonic,0.970731388882722,0.0292686111172777
459,ER,GB039,-33.4884990810076,69.0447947721847,Koreanic,0.157196932754209,0.842803067245791
459,ARD,GB039,-31.106794286218,66.4204851241601,Turkic,0.815480080043457,0.184519919956543
459,ARD,GB039,-31.106794286218,66.4204851241601,Tungusic,0.790539938734416,0.209460061265584
459,ARD,GB039,-31.106794286218,66.4204851241601,Mongolic,0.778967522649312,0.221032477350688
459,ARD,GB039,-31.106794286218,66.4204851241601,Japonic,0.753208168721526,0.246791831278474
459,ARD,GB039,-31.106794286218,66.4204851241601,Koreanic,0.462559222112166,0.537440777887834
459,ER,GB041,-4.65095894564701,11.3697145014635,Turkic,1,4.6468130757002e-29
459,ER,GB041,-4.65095894564701,11.3697145014635,Tungusic,1,1.96149438138803e-32
459,ER,GB041,-4.65095894564701,11.3697145014635,Mongolic,1,1.61803283180071e-27
459,ER,GB041,-4.65095894564701,11.3697145014635,Japonic,1,2.43238395530027e-29
459,ER,GB041,-4.65095894564701,11.3697145014635,Koreanic,1,1.76288629196729e-28
459,ARD,GB041,-4.65095894564701,13.5088144430181,Turkic,1,4.6468130757002e-29
459,ARD,GB041,-4.65095894564701,13.5088144430181,Tungusic,1,1.96149438138803e-32
459,ARD,GB041,-4.65095894564701,13.5088144430181,Mongolic,1,1.61803283180071e-27
459,ARD,GB041,-4.65095894564701,13.5088144430181,Japonic,1,2.43238395530027e-29
459,ARD,GB041,-4.65095894564701,13.5088144430181,Koreanic,1,1.76288629196729e-28
459,ER,GB042,-4.49523358380101,11.0582637777715,Turkic,1,4.6468130757002e-29
459,ER,GB042,-4.49523358380101,11.0582637777715,Tungusic,1,1.96149438138803e-32
459,ER,GB042,-4.49523358380101,11.0582637777715,Mongolic,1,1.53212015653297e-27
459,ER,GB042,-4.49523358380101,11.0582637777715,Japonic,1,2.43238395530027e-29
459,ER,GB042,-4.49523358380101,11.0582637777715,Koreanic,1,1.76288629196729e-28
459,ARD,GB042,-4.49523358380101,13.1973637193262,Turkic,1,4.6468130757002e-29
459,ARD,GB042,-4.49523358380101,13.1973637193262,Tungusic,1,1.96149438138803e-32
459,ARD,GB042,-4.49523358380101,13.1973637193262,Mongolic,1,1.53212015653297e-27
459,ARD,GB042,-4.49523358380101,13.1973637193262,Japonic,1,2.43238395530027e-29
459,ARD,GB042,-4.49523358380101,13.1973637193262,Koreanic,1,1.76288629196729e-28
459,ER,GB043,-6.43608070638986,14.9399580229492,Turkic,1,3.44223522922267e-29
459,ER,GB043,-6.43608070638986,14.9399580229492,Tungusic,1,1.45302085061938e-32
459,ER,GB043,-6.43608070638986,14.9399580229492,Mongolic,1,1.13495376032037e-27
459,ER,GB043,-6.43608070638986,14.9399580229492,Japonic,1,1.80184517945475e-29
459,ER,GB043,-6.43608070638986,14.9399580229492,Koreanic,1,1.30589916170474e-28
459,ARD,GB043,-6.43608070638986,17.0790579645039,Turkic,1,3.44223522922267e-29
459,ARD,GB043,-6.43608070638986,17.0790579645039,Tungusic,1,1.45302085061938e-32
459,ARD,GB043,-6.43608070638986,17.0790579645039,Mongolic,1,1.13495376032037e-27
459,ARD,GB043,-6.43608070638986,17.0790579645039,Japonic,1,1.80184517945475e-29
459,ARD,GB043,-6.43608070638986,17.0790579645039,Koreanic,1,1.30589916170474e-28
459,ER,GB044,-34.0954571244645,70.2587108590984,Turkic,0.0950672723504313,0.904932727649569
459,ER,GB044,-34.0954571244645,70.2587108590984,Tungusic,0.25313146678956,0.74686853321044
459,ER,GB044,-34.0954571244645,70.2587108590984,Mongolic,0.326419068865028,0.673580931134972
459,ER,GB044,-34.0954571244645,70.2587108590984,Japonic,0.750649114915258,0.249350885084742
459,ER,GB044,-34.0954571244645,70.2587108590984,Koreanic,0.4426465104044,0.5573534895956
459,ARD,GB044,-31.9589978975965,68.1248923469172,Turkic,0.208191749403293,0.791808250596707
459,ARD,GB044,-31.9589978975965,68.1248923469172,Tungusic,0.382750020190933,0.617249979809067
459,ARD,GB044,-31.9589978975965,68.1248923469172,Mongolic,0.280165881212328,0.719834118787672
459,ARD,GB044,-31.9589978975965,68.1248923469172,Japonic,0.851372480731817,0.148627519268183
459,ARD,GB044,-31.9589978975965,68.1248923469172,Koreanic,0.462033912688007,0.537966087311993
459,ER,GB046,-12.2486909314236,26.5651784730167,Turkic,9.30002710845376e-05,0.999906999728916
459,ER,GB046,-12.2486909314236,26.5651784730167,Tungusic,0.00042486878484004,0.99957513121516
459,ER,GB046,-12.2486909314236,26.5651784730167,Mongolic,0.0409110207246418,0.959088979275358
459,ER,GB046,-12.2486909314236,26.5651784730167,Japonic,0.00164160148494481,0.998358398515055
459,ER,GB046,-12.2486909314236,26.5651784730167,Koreanic,0.168207661167694,0.831792338832306
459,ARD,GB046,-12.1802315639598,28.5673596796437,Turkic,4.19703273302903e-21,1
459,ARD,GB046,-12.1802315639598,28.5673596796437,Tungusic,1.41529409087601e-20,1
459,ARD,GB046,-12.1802315639598,28.5673596796437,Mongolic,9.42051303645135e-19,1
459,ARD,GB046,-12.1802315639598,28.5673596796437,Japonic,1.11148593327214e-19,1
459,ARD,GB046,-12.1802315639598,28.5673596796437,Koreanic,1.78497281596019e-09,0.999999998215027
459,ER,GB047,-9.28368913863165,20.6351748874328,Turkic,1.58608897643186e-05,0.999984139110236
459,ER,GB047,-9.28368913863165,20.6351748874328,Tungusic,6.14832239727502e-06,0.999993851677603
459,ER,GB047,-9.28368913863165,20.6351748874328,Mongolic,0.00314629407248773,0.996853705927512
459,ER,GB047,-9.28368913863165,20.6351748874328,Japonic,0.000824968711210279,0.99917503128879
459,ER,GB047,-9.28368913863165,20.6351748874328,Koreanic,5.24168060349635e-05,0.999947583193965
459,ARD,GB047,-8.94956399102846,22.1060245337811,Turkic,2.66452543954032e-21,1
459,ARD,GB047,-8.94956399102846,22.1060245337811,Tungusic,1.09879434567255e-24,1
459,ARD,GB047,-8.94956399102846,22.1060245337811,Mongolic,9.59985746760979e-20,1
459,ARD,GB047,-8.94956399102846,22.1060245337811,Japonic,1.49646487895755e-19,1
459,ARD,GB047,-8.94956399102846,22.1060245337811,Koreanic,1.0287011694241e-20,1
459,ER,GB048,-18.8472170473884,39.7622307049463,Turkic,0.00871217520073862,0.991287824799261
459,ER,GB048,-18.8472170473884,39.7622307049463,Tungusic,0.000965427508865978,0.999034572491134
459,ER,GB048,-18.8472170473884,39.7622307049463,Mongolic,0.0349841120568078,0.965015887943192
459,ER,GB048,-18.8472170473884,39.7622307049463,Japonic,0.0315335086078738,0.968466491392126
459,ER,GB048,-18.8472170473884,39.7622307049463,Koreanic,0.24008341250869,0.75991658749131
459,ARD,GB048,-16.0461570681619,36.2992106880479,Turkic,0.17619194979402,0.82380805020598
459,ARD,GB048,-16.0461570681619,36.2992106880479,Tungusic,0.176250955419184,0.823749044580816
459,ARD,GB048,-16.0461570681619,36.2992106880479,Mongolic,0.176302267150508,0.823697732849492
459,ARD,GB048,-16.0461570681619,36.2992106880479,Japonic,0.177714128231862,0.822285871768138
459,ARD,GB048,-16.0461570681619,36.2992106880479,Koreanic,0.281897221978344,0.718102778021656
459,ER,GB049,-13.1366700683336,28.3411367468368,Turkic,0.000539670857536979,0.999460329142463
459,ER,GB049,-13.1366700683336,28.3411367468368,Tungusic,7.83190932000031e-05,0.9999216809068
459,ER,GB049,-13.1366700683336,28.3411367468368,Mongolic,0.0116564734879446,0.988343526512055
459,ER,GB049,-13.1366700683336,28.3411367468368,Japonic,0.199940363279664,0.800059636720336
459,ER,GB049,-13.1366700683336,28.3411367468368,Koreanic,0.000229130793115965,0.999770869206884
459,ARD,GB049,-12.938133695868,30.0831639434602,Turkic,4.20101995632661e-21,1
459,ARD,GB049,-12.938133695868,30.0831639434602,Tungusic,1.71091416945355e-24,1
459,ARD,GB049,-12.938133695868,30.0831639434602,Mongolic,1.58748544592234e-19,1
459,ARD,GB049,-12.938133695868,30.0831639434602,Japonic,2.3670029446612e-09,0.999999997632997
459,ARD,GB049,-12.938133695868,30.0831639434602,Koreanic,1.63712087301165e-20,1
459,ER,GB057,-28.9417697317229,59.9513360736153,Turkic,0.922274605714523,0.0777253942854768
459,ER,GB057,-28.9417697317229,59.9513360736153,Tungusic,0.803555798407095,0.196444201592905
459,ER,GB057,-28.9417697317229,59.9513360736153,Mongolic,0.809618379563633,0.190381620436367
459,ER,GB057,-28.9417697317229,59.9513360736153,Japonic,0.0344304638680132,0.965569536131987
459,ER,GB057,-28.9417697317229,59.9513360736153,Koreanic,0.137646765303562,0.862353234696438
459,ARD,GB057,-28.0406681124931,60.2882327767104,Turkic,0.796727302909873,0.203272697090127
459,ARD,GB057,-28.0406681124931,60.2882327767104,Tungusic,0.534026352004225,0.465973647995776
459,ARD,GB057,-28.0406681124931,60.2882327767104,Mongolic,0.717777694010366,0.282222305989634
459,ARD,GB057,-28.0406681124931,60.2882327767104,Japonic,0.0260460161591707,0.973953983840829
459,ARD,GB057,-28.0406681124931,60.2882327767104,Koreanic,0.150044160760587,0.849955839239413
459,ER,GB059,-18.130352237221,38.3285010846115,Turkic,0.994503966805767,0.00549603319423312
459,ER,GB059,-18.130352237221,38.3285010846115,Tungusic,0.737144330660837,0.262855669339164
459,ER,GB059,-18.130352237221,38.3285010846115,Mongolic,0.994403370853281,0.00559662914671925
459,ER,GB059,-18.130352237221,38.3285010846115,Japonic,0.999923183742209,7.68162577913208e-05
459,ER,GB059,-18.130352237221,38.3285010846115,Koreanic,0.99971490664417,0.00028509335582991
459,ARD,GB059,-15.9735729755201,36.1540425027643,Turkic,0.72201857242679,0.27798142757321
459,ARD,GB059,-15.9735729755201,36.1540425027643,Tungusic,0.128871496321416,0.871128503678584
459,ARD,GB059,-15.9735729755201,36.1540425027643,Mongolic,0.814546235783852,0.185453764216148
459,ARD,GB059,-15.9735729755201,36.1540425027643,Japonic,0.981969201102728,0.0180307988972717
459,ARD,GB059,-15.9735729755201,36.1540425027643,Koreanic,0.991218020288638,0.00878197971136213
459,ER,GB068,-27.1427145448231,56.3532256998158,Turkic,0.987416582079231,0.0125834179207689
459,ER,GB068,-27.1427145448231,56.3532256998158,Tungusic,0.996884692776949,0.00311530722305078
459,ER,GB068,-27.1427145448231,56.3532256998158,Mongolic,0.962883202895778,0.0371167971042223
459,ER,GB068,-27.1427145448231,56.3532256998158,Japonic,0.0306804886102214,0.969319511389779
459,ER,GB068,-27.1427145448231,56.3532256998158,Koreanic,0.0103939836345577,0.989606016365442
459,ARD,GB068,-25.6752119497556,55.5573204512354,Turkic,0.844726018489469,0.155273981510531
459,ARD,GB068,-25.6752119497556,55.5573204512354,Tungusic,0.898295364151973,0.101704635848027
459,ARD,GB068,-25.6752119497556,55.5573204512354,Mongolic,0.838017694106963,0.161982305893037
459,ARD,GB068,-25.6752119497556,55.5573204512354,Japonic,0.028002816084203,0.971997183915797
459,ARD,GB068,-25.6752119497556,55.5573204512354,Koreanic,0.0165111695240248,0.983488830475975
459,ER,GB069,-18.8895631105642,39.8469228312979,Turkic,0.996508563128638,0.00349143687136222
459,ER,GB069,-18.8895631105642,39.8469228312979,Tungusic,0.999616654106881,0.000383345893118433
459,ER,GB069,-18.8895631105642,39.8469228312979,Mongolic,0.99378677649666,0.00621322350333944
459,ER,GB069,-18.8895631105642,39.8469228312979,Japonic,0.132823807196652,0.867176192803348
459,ER,GB069,-18.8895631105642,39.8469228312979,Koreanic,0.00615769882439888,0.993842301175601
459,ARD,GB069,-15.899200568082,36.0052976878882,Turkic,0.841174062894865,0.158825937105135
459,ARD,GB069,-15.899200568082,36.0052976878882,Tungusic,0.884956753814226,0.115043246185774
459,ARD,GB069,-15.899200568082,36.0052976878882,Mongolic,0.865427015944968,0.134572984055032
459,ARD,GB069,-15.899200568082,36.0052976878882,Japonic,0.00502891026886518,0.994971089731135
